report_id,record_id,pmid,question_ids,title,agent_provisional_study_id,agent_recommendation,linkage_evidence,trial_registration_ids,duplicate_cluster_ids,component_report_count,confidence,source_record_sha256,decision_authority,human_link_decision,human_study_id,verified_by,verified_at
RPT-PUBMED-11224,REC-PUBMED-11224,11224,B2,"Dietary phosphate deprivation in women and men: effects on mineral and acid balances, parathyroid hormone and the metabolism of 25-OH-vitamin D.",AGENT-STUDY-69CFBAC6D64A,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,28b88c4b32b3db58f6a411e25cc8ca76f0466f0f11e822e59d3e46b66b273ae6,agent_prereview_only,,,,
RPT-PUBMED-12770,REC-PUBMED-12770,12770,A2,"In vitro effects of bencyclan on coagulation, fibrinolysis and platelet function.",AGENT-STUDY-207CB3D1FE5D,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,10a1c4e644d0b4da9153559ae145fa506fccb799a60874f3d0472fc6cc57aae6,agent_prereview_only,,,,
RPT-PUBMED-52757,REC-PUBMED-52757,52757,B2,"Hypercalcemia and neoplasia. Biologic, biochemical, and ultrastructural studies of a hypercalcemia-producing Leydig cell tumor of the rat.",AGENT-STUDY-5356908B5F0B,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,69c664eb623ceed32a04181458fa027b02243389eb01ee20283faac4d40fe335,agent_prereview_only,,,,
RPT-PUBMED-76356,REC-PUBMED-76356,76356,B1,Role of urinary alpha1-globulin fraction in formation of urinary calculi. With special reference to aggregating effect of serum alpha1-globulin on calcium carbonate suspension.,AGENT-STUDY-98BD1A9D9038,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,0497fbb84fa00a1962322434d8dbbc3e2ed21a40fd605a3d93e37954a39f11de,agent_prereview_only,,,,
RPT-PUBMED-101482,REC-PUBMED-101482,101482,B3,Methylene blue and other agents as inhibitors of calcium oxalithiasis in vivo.,AGENT-STUDY-408F0F3FAEF8,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,d782fde5c5fc2ec6b682a0584989a6607e87f5fce29bf3f25ddf2aa5de191281,agent_prereview_only,,,,
RPT-PUBMED-103668,REC-PUBMED-103668,103668,B1,Reduced red blood cell carbonic anhydrase activity in a patient with nephrolithiasis.,AGENT-STUDY-EB9D8C1D21DD,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,617e01d31b7bed498e4fa412e51f0372107e5883a245445672943b11cbacf927,agent_prereview_only,,,,
RPT-PUBMED-137562,REC-PUBMED-137562,137562,B1,The role of the matrix substance in formation of urinary stones.,AGENT-STUDY-5457B0BBA578,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,f5563d87c4b6845227cb44025683ec045f3f8274d22428e56ad5f0ce10c590e1,agent_prereview_only,,,,
RPT-PUBMED-143891,REC-PUBMED-143891,143891,B2,Interaction of dichloromethylene diphosphonate and vitamin D on bone of thyroparathyroidectomized rats.,AGENT-STUDY-499F5A91F86D,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,339e5350f79959a3b2460d89ce1e0d111d97e6ba9dcb2422b55dfe7ad0a1f973,agent_prereview_only,,,,
RPT-PUBMED-160244,REC-PUBMED-160244,160244,A1,Warfarin skin necrosis. The role of factor VII.,AGENT-STUDY-92CC66A7D657,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,e6197b632566b8897d5ec4a673aad430482d70645f242f66c7cb38e6a037aa0f,agent_prereview_only,,,,
RPT-PUBMED-160852,REC-PUBMED-160852,160852,B2,Role of dialysis in the treatment of severe hypercalcemia: report of two cases successfully treated with hemodialysis and review of the literature.,AGENT-STUDY-4F7D39A39C61,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,f01dfea3bb4d70a53f15ef3618003e824d3421b2395342e9dce7683c23ae04cc,agent_prereview_only,,,,
RPT-PUBMED-164313,REC-PUBMED-164313,164313,B2,Long-term therapy of viramin D-resistant richets with 25-hydroxycholecalciferol.,AGENT-STUDY-24191CF45142,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,5ea466d16f6fe7ae1d71f2351c3e9bbd8036a16f4bc6eba3fda57fb1961c1f10,agent_prereview_only,,,,
RPT-PUBMED-166600,REC-PUBMED-166600,166600,B2,Recent advances in calcium and phosphorus metabolism.,AGENT-STUDY-E4EF17E6FD62,provisional_single_report_study_needs_validation,no_explicit_cross_report_link_detected,,,1,low,e02254a60f4f2d73143c718ff3eb971edb3a98b1a5bcc28fbdcb82ced7ab027a,agent_prereview_only,,,,
