retrieval_id,record_id,question_id,nct_id,brief_title,overall_status,agent_recommendation,recommendation_reason,matched_population_terms,matched_exposure_terms,matched_outcome_terms,uncertainty_flags,registry_url,source_context_sha256,decision_authority,human_decision
RET-A1-CTGOV-NCT00264277,REC-CTGOV-NCT00264277,A1,NCT00264277,D-dimer to Establish Duration of Anticoagulation After Venous Thromboembolism,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT00264277,599723b71683f855c63efc079d7526a04ba52c2397f6f5ecc4dac35cf98a59cc,agent_prereview_only,
RET-A1-CTGOV-NCT04730037,REC-CTGOV-NCT04730037,A1,NCT04730037,Clinical Trial to Investigate Safety and Efficacy of Edoxaban in Patients With CTEPH (KABUKI),COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT04730037,a716922e8fd1a87543d1dcd9ea1c947b38df1e08f4385794d2d5686fa76ba339,agent_prereview_only,
RET-A1-CTGOV-NCT07571460,REC-CTGOV-NCT07571460,A1,NCT07571460,Clinical Application of Simcyp-Guided Warfarin Initiation Doses in Cirrhotic Patients With Portal Vein Thrombosis,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT07571460,349d8d82c623c12aa2e43e310d3f36a37b07c1da6c9035a80466393afddc7ccd,agent_prereview_only,
RET-A1-CTGOV-NCT01006733,REC-CTGOV-NCT01006733,A1,NCT01006733,Genetics Informatics Trial (GIFT) of Warfarin to Prevent DVT,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,inr|thrombosis,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT01006733,c0879178c0a1633c8e7d395a69ccef2e53fdd8e9026a9c1c03edd7bd93036260,agent_prereview_only,
RET-A1-CTGOV-NCT00287313,REC-CTGOV-NCT00287313,A1,NCT00287313,Daily Vitamin K in Patients on Warfarin With Unstable INRs,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT00287313,c955d0fbf9aed4ae2ba53cf740979d225905867d6a6caeb2e00c35a0fe308fd7,agent_prereview_only,
RET-A1-CTGOV-NCT03085576,REC-CTGOV-NCT03085576,A1,NCT03085576,NATional TUnisian REgistry of Atrial Fibrillation,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT03085576,a1998830d9c46702878c907ec80ce359b388cb633f269ad826854bd9a9a4697c,agent_prereview_only,
RET-A1-CTGOV-NCT02533960,REC-CTGOV-NCT02533960,A1,NCT02533960,Registry of Acute Stroke Under Novel Oral Anticoagulants - Prime,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT02533960,56bc5bf4abf3f058d5d928b83993df8a6e155bf690aca28bef1973cc6fadeb11,agent_prereview_only,
RET-A1-CTGOV-NCT00726726,REC-CTGOV-NCT00726726,A1,NCT00726726,Drug Interaction Study With a Potential Alzheimer's Disease Compound,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT00726726,9477a40735563493e90413e2908a03715958a182f9f4ebf1ac7104faaa0350f4,agent_prereview_only,
RET-A1-CTGOV-NCT05515120,REC-CTGOV-NCT05515120,A1,NCT05515120,Rivaroxaban Plus Aspirin to Manage Recurrent Venous Thromboembolic Events,COMPLETED,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,acenocoumarol,,bleeding,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT05515120,cff1bb7795532725235c1c796eb02baffd9aafe2b97945b6bdc70c6aec536a6d,agent_prereview_only,
RET-A1-CTGOV-NCT00691470,REC-CTGOV-NCT00691470,A1,NCT00691470,"Comparison of ATI-5923, a Novel Vitamin K Antagonist, With Warfarin in Patients Requiring Chronic Anticoagulation",UNKNOWN,likely_exclude_needs_validation,비타민 K 길항제가 보충제 비타민 K로 검색된 어휘 위험입니다. 사람 검토 전에는 제외로 확정하지 않습니다.,warfarin,,,known_query_lexical_risk,https://clinicaltrials.gov/study/NCT00691470,2de4b6b269dd2695f35b24ed8a918e09dcacd1b62f7cc5327ffb08e12dae6f1d,agent_prereview_only,
