metric_id,source_file_or_surface,observed_value,correct_interpretation,disposition
M01,PRISMA 선별요약 latest_total,8957,two June 3 PubMed query hit counts; not screened corpus,pilot_only
M02,검색원별 실행 로그 PubMed,12023,displayed aggregate from multiple runs,superseded
M03,PRISMA cumulative_records,236,cumulative relevance-truncated stored records,candidate_for_revalidation
M04,초록 분류 include_candidate,196,"automated candidate label, not final inclusion",pilot_only
M05,우선 검토 후보,214,"ranking pool, not evidence base",pilot_only
M06,보조 검색 hit,252502,Europe PMC + Crossref incomparable aggregate,do_not_report_as_scale
M07,핵심근거추출표,10,"mixed evidence layers, incomplete full-text verification",candidate_for_revalidation
M08,live app rules,37,"deployed in-scope display count, not validated thesis rule count",historical_baseline
M09,legacy engine rules,110,mixed shared knowledge pack,legacy_unverified
M10,legacy scenarios,5,pilot regression examples,pilot_only
