record_id,pmid,question_id,title,priority_tier,priority_reason,core_candidate,study_design_signal,dose_observed,dose_extracted,public_fulltext_locator,evidence_locator,duplicate_cluster_ids,source_record_sha256,decision_authority,human_eligibility_decision,rob_completed,grade_completed,systematic_review_inclusion_claim
REC-PUBMED-21193422,21193422,A1,Vitamin K1 supplementation to improve the stability of anticoagulation therapy with vitamin K antagonists: a dose-finding study.,tier_1_public_fulltext_core,핵심 직접근거 후보이며 공개 원문 위치가 확인됩니다.,true,include_candidate,true,100 μg | 150 μg | 200 μg,https://pmc.ncbi.nlm.nih.gov/articles/PMC3069236/,"ABSTRACT: Vitamin K1 supplementation to improve the stability of anticoagulation therapy with vitamin K antagonists: a dose-finding study.. | In previous studies supplementation with low dose vitamin K(1) was shown to improve the stability of anticoagulant control. | DESIGN AND METHODS: Four hundred patients from two anticoagulation clinics starting with vitamin K antagonists, independently of a possible history of instable anticoagulation, were randomized to receive either placebo or 100, 150 or 200 μg of vitamin K(1) together with their treatment with vitamin K antagonists.",,2f226d133baf8658abb8c977825bdcdf47873b8c582b8e0d1de0061ea51352e4,agent_research_prioritization_only,,false,false,false
REC-PUBMED-24052022,24052022,A1,"Vitamin K intake, body mass index and warfarin maintenance dose.",tier_1_public_fulltext_core,핵심 직접근거 후보이며 공개 원문 위치가 확인됩니다.,true,include_candidate_design_unclear,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4038335/,"ABSTRACT: Vitamin K intake, body mass index and warfarin maintenance dose.. | We hypothesized that body mass index (BMI), a proxy of body fat, may interact with vitamin K intake in determining a warfarin maintenance (WM) dose. | RESULTS: Warfarin loading dose correlated with the maintenance dose (r = 0.36, p < 0.0001) but was not significantly associated with WM dose in analyses adjusted for vitamin K epoxide reductase (VKORC1) and cytochrome P450 2C9 (CYP2C9) genotypes.",,9fa8dcc915d1415a58393e47076ed7f34f37f4a4e999f00866c62f16308b7552,agent_research_prioritization_only,,false,false,false
REC-PUBMED-24832594,24832594,A1,Vitamin K for improved anticoagulation control in patients receiving warfarin.,tier_1_public_fulltext_core,핵심 직접근거 후보이며 공개 원문 위치가 확인됩니다.,true,include_candidate,true,150 to 175 mcg,https://pmc.ncbi.nlm.nih.gov/articles/PMC11254377/,"ABSTRACT: There is some evidence that patients with a variable response to warfarin may benefit from a concomitant low dose of vitamin K. | OBJECTIVES: To assess the effects of concomitant supplementation of low-dose oral vitamin K for anticoagulation control in patients being initiated on or taking a maintenance dose of warfarin. | This study found that in the group of participants deemed to have poor INR control, the addition of 150 micrograms (mcg) oral vitamin K significantly improved anticoagulation control in those with unexplained instability of response to warfarin.",,2ba9b5937c7783868fc5345df93735b283588df09539c399d04b411a5c5a7834,agent_research_prioritization_only,,false,false,false
REC-PUBMED-26566518,26566518,A1,Association Between Usual Vitamin K Intake and Anticoagulation in Patients Under Warfarin Therapy.,tier_1_public_fulltext_core,핵심 직접근거 후보이며 공개 원문 위치가 확인됩니다.,true,include_candidate_design_unclear,true,165.2 µg/day,https://pmc.ncbi.nlm.nih.gov/articles/PMC4641985/,"ABSTRACT: Association Between Usual Vitamin K Intake and Anticoagulation in Patients Under Warfarin Therapy.. | This study aimed to explore the correlation between usual vitamin K intake and response to anticoagulant therapy among patients under warfarin therapy. | In conclusion, no significant association was observed between usual vitamin K intake and anticoagulant effects.",,62d928cee9a129cea9707af02b021184c82cc6611176050efd8417ac95fea6c7,agent_research_prioritization_only,,false,false,false
REC-PUBMED-26962786,26962786,A1,Interaction Between Dietary Vitamin K Intake and Anticoagulation by Vitamin K Antagonists: Is It Really True?: A Systematic Review.,tier_1_public_fulltext_core,핵심 직접근거 후보이며 공개 원문 위치가 확인됩니다.,true,include_candidate,true,150 μg/day | 76 to 217 μg/day,https://pmc.ncbi.nlm.nih.gov/articles/PMC4998867/,"ABSTRACT: Interaction Between Dietary Vitamin K Intake and Anticoagulation by Vitamin K Antagonists: Is It Really True?: A Systematic Review.. | Educational advice is often given to patients starting treatment with vitamin K Antagonists (VKAs). | Common belief is that dietary vitamin K intake could counteract the anticoagulant effect by VKAs and for many years, patients have been discouraged to consume vitamin-K-rich foods, such as green leafy vegetables.The objective of this study is to summarize the current evidence supporting the putative interaction between dietary vitamin K intake and changes in INR with the VKAs.Data sources are MEDLINE via PubMed and Cochrane database.All clinical studies investigating the relationship between dietary vitamin K and measures of anticoagulation were included.",,db255377fbc5d81de79b884a6ee45910c7fb8b85641d360013b9514d2fa0f2d0,agent_research_prioritization_only,,false,false,false
REC-PUBMED-35105600,35105600,A1,Vitamin K-dependent anticoagulant use and level of anticoagulation control in sub-Saharan Africa: protocol for a retrospective cohort study.,tier_1_public_fulltext_core,핵심 직접근거 후보이며 공개 원문 위치가 확인됩니다.,true,include_candidate,false,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8808436/,"ABSTRACT: BACKGROUND: Given that vitamin K-dependent anticoagulants (VKAs) will continue to be the primary anticoagulant in Africa for a long time, understanding the quality of anticoagulation services in the continent is vital for optimising the intended benefits.",,e137e98240e93a903872443c761cab435164773852043d097921fe94301ae5e6,agent_research_prioritization_only,,false,false,false
REC-PUBMED-35685257,35685257,A1,Does vitamin K supplementation improve vitamin K antagonist therapy? A case report and update of the literature.,tier_1_public_fulltext_core,핵심 직접근거 후보이며 공개 원문 위치가 확인됩니다.,true,include_candidate,true,180 μg/day,https://pmc.ncbi.nlm.nih.gov/articles/PMC9169004/,"ABSTRACT: Does vitamin K supplementation improve vitamin K antagonist therapy? | Since INR fluctuations can occur due to poor or varied dietary vitamin K, 180 μg/day vitamin K was added to the patient's warfarin treatment in an attempt to stabilize INR fluctuations. | Our updated literature review demonstrates that vitamin K supplementation can improve the stability of INR without improvement of time therapeutic range.",,2565ad9444b288f706ed268c100e78e33e3efe1a46a1e73755742a144a370fbe,agent_research_prioritization_only,,false,false,false
REC-PUBMED-10102468,10102468,A1,Vitamin K intake and sensitivity to warfarin in patients consuming regular diets.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,false,,,ABSTRACT: Vitamin K intake and sensitivity to warfarin in patients consuming regular diets.. | The effect of dietary vitamin K intake on warfarin sensitivity is known only from case reports and few small clinical studies. | We conclude that in 32% (16/50) of anticoagulated patients under usual dietary conditions sensitivity to warfarin is decreased by vitamin K intake > or =250 microg/day.,,11e0567233c6e74e2f751dbc5819effef25f97fef39904e4ce6649af7a92b1c6,agent_research_prioritization_only,,false,false,false
REC-PUBMED-14717783,14717783,A1,Dietary vitamin K influences intra-individual variability in anticoagulant response to warfarin.,tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate_design_unclear,false,,,"ABSTRACT: Dietary vitamin K influences intra-individual variability in anticoagulant response to warfarin.. | The relationship between dietary intake of vitamin K, fat, plasma vitamin K concentrations and anticoagulation response to warfarin within individuals, as well as the contribution of dietary vitamin K to differences in warfarin dose requirements between individuals were investigated in 53 patients on warfarin therapy who had stably controlled anticoagulation. | Regression analysis of the data showed that, for each increase of 100 microg in the daily dietary intake of vitamin K averaged over 4 d, the INR was reduced by 0.2.",,637d65aaf261854182576e7a3e7ce9439abfd53ca9dc2427a96ffae72e9b6dc0,agent_research_prioritization_only,,false,false,false
REC-PUBMED-15543329,15543329,A1,"Over-the-counter vitamin K1-containing multivitamin supplements disrupt warfarin anticoagulation in vitamin K1-depleted patients. A prospective, controlled trial.",tier_2_core_locator_needed,핵심 직접근거 후보이나 공개 원문 위치 확인이 필요합니다.,true,include_candidate,true,25 mcg,,"ABSTRACT: Over-the-counter vitamin K1-containing multivitamin supplements disrupt warfarin anticoagulation in vitamin K1-depleted patients. | Most multivitamin supplements contain far less vitamin K(1) than thought to affect warfarin anticoagulation. | Therefore, we compared the effect of a vitamin K(1)-containing multivitamin on warfarin anticoagulation between patients with low versus normal vitamin K(1) status.",,d7be2b65e8e22ded5a6540c83bcb8dd6e959afccf6c3bdee6f8cc0ef6c0a2e07,agent_research_prioritization_only,,false,false,false
