code,stage,label_ko,definition,examples,is_primary_reason_allowed
TA01,title_abstract,명백한 비인간 연구,동물·세포·실험실 연구만 보고,mouse model; in vitro crystal assay,yes
TA02,title_abstract,명백한 대상 불일치,사전 지정 population과 관련 가능성이 없음,pediatric-only when adult-only protocol,yes
TA03,title_abstract,명백한 노출 불일치,사전 지정 보충제 노출이 없음,drug-only intervention,yes
TA04,title_abstract,명백한 결과 불일치,효능만 있고 안전성 결과 가능성이 없음,lipid efficacy only,yes
TA05,title_abstract,부적합 문헌형태,사설·광고·비연구 기록,editorial,yes
FT01,full_text,비인간 연구,사람 자료 없음,animal or in vitro only,yes
FT02,full_text,대상자 부적합,대상 population 또는 하위군 추출 불가,no anticoagulant subgroup,yes
FT03,full_text,노출 부적합,보충제 노출이 없거나 분리 불가,combined intervention cannot be separated,yes
FT04,full_text,결과 부적합,사전 지정 안전성 결과가 없음 또는 추출 불가,only efficacy outcome,yes
FT05,full_text,연구설계 부적합,프로토콜상 허용되지 않는 설계,narrative opinion,yes
FT06,full_text,중복 보고,새로운 관련 정보가 없는 중복 보고,duplicate publication,yes
FT07,full_text,원문 확인 불가,합리적 확보 시도 후 핵심 기준 확인 불가,conference abstract only,yes
FT08,full_text,철회 또는 신뢰성 문제,철회·중대한 무결성 문제로 사용 불가,retracted report,yes
CTX01,post_include,2차 검토 자료,1차 효과합성 대신 인용추적·비교에 사용,systematic review,no
GUD01,post_include,공식 지침 자료,기준값·안전성 문구 층으로 사용,government fact sheet,no
