question_id,record_id,provider_id,title,authors,venue,year,doi,source_url,publication_types,automated_eligibility,population_evidence,supplement,dose_extracted,outcome_evidence,evidence_locator,fulltext_locator,human_screened,extraction_authority,priority_score
A1,REC-PUBMED-26962786,26962786,Interaction Between Dietary Vitamin K Intake and Anticoagulation by Vitamin K Antagonists: Is It Really True?: A Systematic Review.,Violi F; Lip GY; Pignatelli P; Pastori D,Medicine,2016.0,10.1097/md.0000000000002895,https://pubmed.ncbi.nlm.nih.gov/26962786/,Journal Article|Systematic Review,include_candidate,Interaction Between Dietary Vitamin K Intake and Anticoagulation by Vitamin K Antagonists: Is It Really True?: A Systematic Review.. | Educational advice is often given to patients starting treatment with vitamin K Antagonists (VKAs).,vitamin k,150 μg/day | 76 to 217 μg/day,"Interaction Between Dietary Vitamin K Intake and Anticoagulation by Vitamin K Antagonists: Is It Really True?: A Systematic Review.. | Common belief is that dietary vitamin K intake could counteract the anticoagulant effect by VKAs and for many years, patients have been discouraged to consume vitamin-K-rich foods, such as green leafy vegetables.The objective of this study is to summarize the current evidence supporting the putative interaction between dietary vitamin K intake and changes in INR with the VKAs.Data sources are MEDLINE via PubMed and Cochrane database.All clinical studies investigating the relationship between dietary vitamin K and measures of anticoagulation were included. | We excluded all studies of supplementation of vitamin K alone.We performed a systematic review of the literature up to October 2015, searching for a combination of ""food,"" ""diet,"" ""vitamin K,"" ""phylloquinone,"" ""warfarin,"" ""INR,"" ""coagulation,"" and ""anticoagulant.""Two dietary interventional trials and 9 observational studies were included.","ABSTRACT: Interaction Between Dietary Vitamin K Intake and Anticoagulation by Vitamin K Antagonists: Is It Really True?: A Systematic Review.. | Educational advice is often given to patients starting treatment with vitamin K Antagonists (VKAs). | Common belief is that dietary vitamin K intake could counteract the anticoagulant effect by VKAs and for many years, patients have been discouraged to consume vitamin-K-rich foods, such as green leafy vegetables.The objective of this study is to summarize the current evidence supporting the putative interaction between dietary vitamin K intake and changes in INR with the VKAs.Data sources are MEDLINE via PubMed and Cochrane database.All clinical studies investigating the relationship between dietary vitamin K and measures of anticoagulation were included.",https://pmc.ncbi.nlm.nih.gov/articles/PMC4998867/,False,automated_from_observed_title_abstract,34
A1,REC-PUBMED-21193422,21193422,Vitamin K1 supplementation to improve the stability of anticoagulation therapy with vitamin K antagonists: a dose-finding study.,Gebuis EP; Rosendaal FR; van Meegen E; van der Meer FJ,Haematologica,2011.0,10.3324/haematol.2010.035162,https://pubmed.ncbi.nlm.nih.gov/21193422/,"Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",include_candidate,Vitamin K1 supplementation to improve the stability of anticoagulation therapy with vitamin K antagonists: a dose-finding study.. | BACKGROUND: Poor anticoagulant stability in patients using vitamin K antagonists is a risk factor for both bleeding and thrombosis.,vitamin k,100 μg | 150 μg | 200 μg,"Vitamin K1 supplementation to improve the stability of anticoagulation therapy with vitamin K antagonists: a dose-finding study.. | BACKGROUND: Poor anticoagulant stability in patients using vitamin K antagonists is a risk factor for both bleeding and thrombosis. | DESIGN AND METHODS: Four hundred patients from two anticoagulation clinics starting with vitamin K antagonists, independently of a possible history of instable anticoagulation, were randomized to receive either placebo or 100, 150 or 200 μg of vitamin K(1) together with their treatment with vitamin K antagonists.","ABSTRACT: Vitamin K1 supplementation to improve the stability of anticoagulation therapy with vitamin K antagonists: a dose-finding study.. | In previous studies supplementation with low dose vitamin K(1) was shown to improve the stability of anticoagulant control. | DESIGN AND METHODS: Four hundred patients from two anticoagulation clinics starting with vitamin K antagonists, independently of a possible history of instable anticoagulation, were randomized to receive either placebo or 100, 150 or 200 μg of vitamin K(1) together with their treatment with vitamin K antagonists.",https://pmc.ncbi.nlm.nih.gov/articles/PMC3069236/,False,automated_from_observed_title_abstract,31
A1,REC-PUBMED-15543329,15543329,"Over-the-counter vitamin K1-containing multivitamin supplements disrupt warfarin anticoagulation in vitamin K1-depleted patients. A prospective, controlled trial.",Kurnik D; Loebstein R; Rabinovitz H; Austerweil N; Halkin H; Almog S,Thrombosis and haemostasis,2004.0,10.1160/th04-06-0346,https://pubmed.ncbi.nlm.nih.gov/15543329/,Clinical Trial|Controlled Clinical Trial|Journal Article,include_candidate,Over-the-counter vitamin K1-containing multivitamin supplements disrupt warfarin anticoagulation in vitamin K1-depleted patients. | Most multivitamin supplements contain far less vitamin K(1) than thought to affect warfarin anticoagulation.,vitamin k,25 mcg,"Over-the-counter vitamin K1-containing multivitamin supplements disrupt warfarin anticoagulation in vitamin K1-depleted patients. | Most multivitamin supplements contain far less vitamin K(1) than thought to affect warfarin anticoagulation. | Therefore, we compared the effect of a vitamin K(1)-containing multivitamin on warfarin anticoagulation between patients with low versus normal vitamin K(1) status.","ABSTRACT: Over-the-counter vitamin K1-containing multivitamin supplements disrupt warfarin anticoagulation in vitamin K1-depleted patients. | Most multivitamin supplements contain far less vitamin K(1) than thought to affect warfarin anticoagulation. | Therefore, we compared the effect of a vitamin K(1)-containing multivitamin on warfarin anticoagulation between patients with low versus normal vitamin K(1) status.",,False,automated_from_observed_title_abstract,31
A1,REC-PUBMED-23744743,23744743,Anticoagulation control with daily low-dose vitamin k to reduce clinically adverse outcomes and international normalized ratio variability: a systematic review and meta-analysis.,Lam J; Schulman S; Witt DM; Vandvik PO; Qayyum F; Holbrook AM,Pharmacotherapy,2013.0,10.1002/phar.1302,https://pubmed.ncbi.nlm.nih.gov/23744743/,Journal Article|Meta-Analysis|Systematic Review,include_candidate,Anticoagulation control with daily low-dose vitamin k to reduce clinically adverse outcomes and international normalized ratio variability: a systematic review and meta-analysis.. | STUDY OBJECTIVES: Difficulties managing warfarin therapy have led to speculation that daily supplementation with a low dose of vitamin K might improve anticoagulation control and clinical outcomes.,vitamin k,100 to 200 μg,Anticoagulation control with daily low-dose vitamin k to reduce clinically adverse outcomes and international normalized ratio variability: a systematic review and meta-analysis.. | STUDY OBJECTIVES: Difficulties managing warfarin therapy have led to speculation that daily supplementation with a low dose of vitamin K might improve anticoagulation control and clinical outcomes. | Thus we sought to review the available medical literature systematically examining the effectiveness of low-dose vitamin K supplementation for the reduction of clinically relevant adverse events due to vitamin K antagonist (VKA) use and for stabilization of the international normalized ratio (INR).,ABSTRACT: Anticoagulation control with daily low-dose vitamin k to reduce clinically adverse outcomes and international normalized ratio variability: a systematic review and meta-analysis.. | STUDY OBJECTIVES: Difficulties managing warfarin therapy have led to speculation that daily supplementation with a low dose of vitamin K might improve anticoagulation control and clinical outcomes. | Thus we sought to review the available medical literature systematically examining the effectiveness of low-dose vitamin K supplementation for the reduction of clinically relevant adverse events due to vitamin K antagonist (VKA) use and for stabilization of the international normalized ratio (INR).,,False,automated_from_observed_title_abstract,30
A1,REC-PUBMED-15121490,15121490,Role of dietary vitamin K intake in chronic oral anticoagulation: prospective evidence from observational and randomized protocols.,Franco V; Polanczyk CA; Clausell N; Rohde LE,The American journal of medicine,2004.0,10.1016/j.amjmed.2003.12.036,https://pubmed.ncbi.nlm.nih.gov/15121490/,"Clinical Trial|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",include_candidate,Role of dietary vitamin K intake in chronic oral anticoagulation: prospective evidence from observational and randomized protocols.. | We prospectively evaluated the effects of dietary vitamin K intake on anticoagulation parameters.,vitamin k,,"Role of dietary vitamin K intake in chronic oral anticoagulation: prospective evidence from observational and randomized protocols.. | PURPOSE: The potential association between vitamin K intake and coagulation instability has been explored primarily in case reports and small, retrospective, uncontrolled studies. | We prospectively evaluated the effects of dietary vitamin K intake on anticoagulation parameters.","ABSTRACT: Role of dietary vitamin K intake in chronic oral anticoagulation: prospective evidence from observational and randomized protocols.. | PURPOSE: The potential association between vitamin K intake and coagulation instability has been explored primarily in case reports and small, retrospective, uncontrolled studies. | We prospectively evaluated the effects of dietary vitamin K intake on anticoagulation parameters.",,False,automated_from_observed_title_abstract,28
A1,REC-PUBMED-27232386,27232386,Effect of Vitamin K Intake on the Stability of Treatment with Vitamin K Antagonists: A Systematic Review of the Literature.,Dentali F; Crowther M; Galli M; Pomero F; Garcia D; Clark N; Spadafora L; Witt DM; Ageno W; WARPED Investigators,Seminars in thrombosis and hemostasis,2016.0,10.1055/s-0036-1581105,https://pubmed.ncbi.nlm.nih.gov/27232386/,Journal Article|Systematic Review,include_candidate,Effect of Vitamin K Intake on the Stability of Treatment with Vitamin K Antagonists: A Systematic Review of the Literature.. | Vitamin K antagonists (VKA) are highly effective for the primary and secondary prevention of arterial and venous thromboembolic events.,vitamin k,,"Vitamin K antagonists (VKA) are highly effective for the primary and secondary prevention of arterial and venous thromboembolic events. | However, patients treated with VKA have on average only 60% of their international normalized ratio (INR) values within the therapeutic range and INR instability is associated with an increased risk of thrombosis and bleeding events. | Recent evidence suggests that poor dietary vitamin K intake may affect anticoagulation control, but the role of vitamin K in INR stability remains to be established.","ABSTRACT: Effect of Vitamin K Intake on the Stability of Treatment with Vitamin K Antagonists: A Systematic Review of the Literature.. | Recent evidence suggests that poor dietary vitamin K intake may affect anticoagulation control, but the role of vitamin K in INR stability remains to be established. | Observational studies suggest an increased risk of unstable anticoagulation control in patients with lower daily vitamin K intake.",,False,automated_from_observed_title_abstract,27
A1,REC-PUBMED-27346552,27346552,The effect of low-dose oral vitamin K supplementation on INR stability in patients receiving warfarin. A randomised trial.,Boonyawat K; Wang L; Lazo-Langner A; Kovacs MJ; Yeo E; Schnurr T; Schulman S; Crowther MA,Thrombosis and haemostasis,2016.0,10.1160/th16-04-0320,https://pubmed.ncbi.nlm.nih.gov/27346552/,"Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",include_candidate,The effect of low-dose oral vitamin K supplementation on INR stability in patients receiving warfarin. | The anticoagulant effect of warfarin is influenced by variations in vitamin K intake.,vitamin k,150 mcg,The effect of low-dose oral vitamin K supplementation on INR stability in patients receiving warfarin. | Concomitant use of daily low-dose oral vitamin K (LDVK) and warfarin may improve INR stability. | We hypothesise that administration of LDVK improves INR control.,ABSTRACT: The effect of low-dose oral vitamin K supplementation on INR stability in patients receiving warfarin. | The anticoagulant effect of warfarin is influenced by variations in vitamin K intake. | Concomitant use of daily low-dose oral vitamin K (LDVK) and warfarin may improve INR stability.,,False,automated_from_observed_title_abstract,27
A1,REC-PUBMED-24832594,24832594,Vitamin K for improved anticoagulation control in patients receiving warfarin.,Mahtani KR; Heneghan CJ; Nunan D; Roberts NW,The Cochrane database of systematic reviews,2014.0,10.1002/14651858.cd009917.pub2,https://pubmed.ncbi.nlm.nih.gov/24832594/,"Journal Article|Meta-Analysis|Research Support, Non-U.S. Gov't|Systematic Review",include_candidate,Vitamin K for improved anticoagulation control in patients receiving warfarin.. | BACKGROUND: Effective use of warfarin involves keeping the international normalised ratio (INR) within a relatively narrow therapeutic range.,vitamin k,150 to 175 mcg,"Vitamin K for improved anticoagulation control in patients receiving warfarin.. | BACKGROUND: Effective use of warfarin involves keeping the international normalised ratio (INR) within a relatively narrow therapeutic range. | Overcoagulation can lead to an increased risk of excessive bleeding, while undercoagulation can lead to increased clot formation.","ABSTRACT: There is some evidence that patients with a variable response to warfarin may benefit from a concomitant low dose of vitamin K. | OBJECTIVES: To assess the effects of concomitant supplementation of low-dose oral vitamin K for anticoagulation control in patients being initiated on or taking a maintenance dose of warfarin. | This study found that in the group of participants deemed to have poor INR control, the addition of 150 micrograms (mcg) oral vitamin K significantly improved anticoagulation control in those with unexplained instability of response to warfarin.",https://pmc.ncbi.nlm.nih.gov/articles/PMC11254377/,False,automated_from_observed_title_abstract,27
A1,REC-PUBMED-35685257,35685257,Does vitamin K supplementation improve vitamin K antagonist therapy? A case report and update of the literature.,Amiri SV; Sidelmann JJ; Bor MV,Journal of cardiology cases,2022.0,10.1016/j.jccase.2021.12.011,https://pubmed.ncbi.nlm.nih.gov/35685257/,Case Reports|Journal Article,include_candidate,"Does vitamin K supplementation improve vitamin K antagonist therapy? | We report a multi-morbid patient with mechanical aortic valve and unstable and sub-therapeutic levels of international normalized ratio (INR), initially in phenprocoumon and later in warfarin therapy.",vitamin k,180 μg/day,"We report a multi-morbid patient with mechanical aortic valve and unstable and sub-therapeutic levels of international normalized ratio (INR), initially in phenprocoumon and later in warfarin therapy. | All efforts, including self-testing using Point of Care Testing with telemedicine support to stabilize the patient's INR within the therapeutic range, were unsuccessful. | Since INR fluctuations can occur due to poor or varied dietary vitamin K, 180 μg/day vitamin K was added to the patient's warfarin treatment in an attempt to stabilize INR fluctuations.","ABSTRACT: Does vitamin K supplementation improve vitamin K antagonist therapy? | Since INR fluctuations can occur due to poor or varied dietary vitamin K, 180 μg/day vitamin K was added to the patient's warfarin treatment in an attempt to stabilize INR fluctuations. | Our updated literature review demonstrates that vitamin K supplementation can improve the stability of INR without improvement of time therapeutic range.",https://pmc.ncbi.nlm.nih.gov/articles/PMC9169004/,False,automated_from_observed_title_abstract,25
A1,REC-PUBMED-23928870,23928870,Nutri-pharmacogenomics of warfarin anticoagulation therapy: VKORC1 genotype-dependent influence of dietary vitamin K intake.,Saito R; Takeda K; Yamamoto K; Nakagawa A; Aoki H; Fujibayashi K; Wakasa M; Motoyama A; Iwadare M; Ishida R; Fujioka N; Tsuchiya T; Akao H; Kawai Y; Kitayama M; Kajinami K,Journal of thrombosis and thrombolysis,2014.0,10.1007/s11239-013-0978-9,https://pubmed.ncbi.nlm.nih.gov/23928870/,"Clinical Trial|Journal Article|Research Support, Non-U.S. Gov't",include_candidate_design_unclear,"Nutri-pharmacogenomics of warfarin anticoagulation therapy: VKORC1 genotype-dependent influence of dietary vitamin K intake.. | Warfarin is the most widely prescribed oral anticoagulant, but large interindividual variations exist in the dose required to achieve comparable therapeutic effects.",vitamin k,,"Nutri-pharmacogenomics of warfarin anticoagulation therapy: VKORC1 genotype-dependent influence of dietary vitamin K intake.. | To investigate genotype-nutrient interactions in warfarin anticoagulation therapy, 202 consecutive outpatients (M/F = 142/60, mean age, 69 years) undergoing treatment with warfarin were enrolled. | The results of the present study suggest that the capacity of dietary vitamin K intake to influence warfarin dose requirements during anticoagulation therapy is VKORC1 genotype-dependent, at least in part.","ABSTRACT: Nutri-pharmacogenomics of warfarin anticoagulation therapy: VKORC1 genotype-dependent influence of dietary vitamin K intake.. | In subjects with a variant VKORC1-1639 G allele, the mean daily warfarin dose was significantly attenuated by low vitamin K intake compared with medium and high intake after adjustment for covariates (3.4 vs. | The results of the present study suggest that the capacity of dietary vitamin K intake to influence warfarin dose requirements during anticoagulation therapy is VKORC1 genotype-dependent, at least in part.",,False,automated_from_observed_title_abstract,25
