review_id,platform,question_id,query,observed_hits,response_file,response_sha256,review_focus,allowed_decisions,reviewer_id,reviewed_at,decision,comments,required_revision,status
PRESS-KR-KMBASE-01,KMbase,A1,warfarin vitamin K,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/01_A1_warfarin_vitamin_K.json,87f88f1dffd973e45a788c22b4c2f1587868392d16c0548b7434ad4f5d80d950,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-01,RISS,A1,warfarin vitamin K,555,research/searches/korean_db_split_designpilot_20260710/raw/riss/01_A1_warfarin_vitamin_K.html.gz,1ed18311f5a6a9385a5b6ce7cf2fd5cd73e0d0a030749d3069b28704697f1eac,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-02,KMbase,A1,와파린 비타민 K,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/02_A1_와파린_비타민_K.json,9a29f697c75681f3cf7e7ed1c7873d7b06cc2f112e99ed426586ebe11a629deb,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-02,RISS,A1,와파린 비타민 K,47,research/searches/korean_db_split_designpilot_20260710/raw/riss/02_A1_와파린_비타민_K.html.gz,9cd1dcf9c5b614fdd9662926ab3786022cd16b97ef46223cdc1154733c3d0da2,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-03,KMbase,A1,warfarin phylloquinone,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/03_A1_warfarin_phylloquinone.json,80bf36472dab7afb1ca56857fc29ec10000da6292bfe510b27e2d40d76aa31e4,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-03,RISS,A1,warfarin phylloquinone,5,research/searches/korean_db_split_designpilot_20260710/raw/riss/03_A1_warfarin_phylloquinone.html.gz,1c8a6ed3446ff13bbb7aef6ac44ea234fa710627fa15cd4b47017c32ec3c57b7,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-04,KMbase,A1,warfarin menaquinone,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/04_A1_warfarin_menaquinone.json,47b73bca20bf45ae8dbf0b15ab895c11cf49870dc5a2c06fe272b218555df33d,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-04,RISS,A1,warfarin menaquinone,5,research/searches/korean_db_split_designpilot_20260710/raw/riss/04_A1_warfarin_menaquinone.html.gz,76074d3f8f40d2bc5a6fd5bc5f3e4276ce45a3b9e7cd2b9a8250e421d7adc836,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-KMBASE-05,KMbase,A2,warfarin omega-3,0,research/searches/korean_db_split_designpilot_20260710/raw/kmbase/05_A2_warfarin_omega_3.json,845a28eb9a4122e38f04a6de03b0ce5dccf051e2a82e35952f63b161830d8fa2,critical: zero-hit recall; verify platform semantics and known-item retrieval; do not infer absence,approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
PRESS-KR-RISS-05,RISS,A2,warfarin omega-3,6,research/searches/korean_db_split_designpilot_20260710/raw/riss/05_A2_warfarin_omega_3.html.gz,f6c7c6b46d01f6f496ab751773d5e127ca685aaeadec2b03cb538bdb3b867b36,"verify concept mapping, implicit operator, phrase behavior, overlap, and known-item retrieval",approve_for_final_rerun;return_with_edits;reject_translation;record_platform_unavailable,,,,,,pending_external_human_review
