issue_id,severity,area,finding,evidence,status,next_action,owner,target_gate
AUD-001,critical,scope,"Baseline public deployment exposes 37 legacy rules; local default now exposes only validated thesis scope","research/audit/rule_scope_report.csv; research/audit/deployment_baseline.json; __tests__/thesis-mode-boundary.test.ts",remediated_local_release_pending,"retain deployment blocker until Gate 7 verified release",software lead,Gate 7
AUD-002,critical,validation,"All 110 starter_validated rules become high confidence without accepted human claim validation","src/lib/knowledge/normalize.ts; research/audit/repo_inventory.json",failed_quality_gate,"remove legacy status promotion and rebuild rules from validated claims",data lead,Gate 6
AUD-003,critical,AI,"Baseline production invokes /api/ai-explain; local route/client/module removed and archived","research/audit/deployment_baseline.json; research/audit/runtime_ai_archive.json",remediated_local_release_pending,"prove absence in Gate 7 deployment",software lead,Gate 7
AUD-004,critical,provenance,"No claim entity; semantic support can mismatch despite intact IDs","research/audit/data_lineage.md",failed_quality_gate,"implement claim registry and semantic provenance review",evidence lead,Gate 4-6
AUD-005,critical,retrieval,"June 3 exports cap each query at 100 relevance-ranked records; homepage mixes run and source units","research/audit/legacy_counts_reproduction.csv",legacy_quarantined,"rerun five question-specific complete searches after protocol freeze",retrieval lead,Gate 2
AUD-006,major,determinism,"Legacy literature candidate generator previously changed hash with current timestamp","research/audit/hardcoded_counts_report.md",complete_verified,"retain repeat-build hash regression",software lead,Gate 1
AUD-007,critical,validation,"Five developer-authored scenarios are not independent gold","research/audit/test_gap_report.md",blocked_external,"two independent reviewers create/adjudicate scenario gold",validation lead,Gate 7
AUD-008,major,versioning,"No pre-audit Git tag existed","git tag legacy-baseline-20260710",complete_verified,"retain annotated baseline tag locally; publish only in release workflow",software lead,Gate 0
AUD-009,major,reproducibility,"Python requirements use minimum ranges in shared global environment","research/audit/repo_inventory.json",risk_open,"create isolated locked research environment",software lead,Gate 1-2
AUD-010,major,testing,"No CI, API contract E2E, privacy, semantic provenance, or partial-string EPA regression","research/audit/test_gap_report.md",failed_quality_gate,"implement tests before validated release",software lead,Gate 6-7
