sample_id,record_id,question_id,title,abstract,source,evidence_basis,P,I,C,O,S
v3ref-0001,pubmed:31994568,HRS3_PREGNANCY,A pregnancy complication-dependent change in SIgA-targeted microbiota during third trimester.,"Gut microbiota play a crucial role in metabolic dysfunction during gestation, which might be prevented by using probiotics. This study compared the composition of the gut microbiota in healthy and complicated pregnancies, for screening and isolating healthy pregnancy-derived probiotics. According to the principal component analysis of secretory immunoglobulin A (SIgA)-coated microbiota in the gut, third-trimester volunteers can be divided into three groups: AHd (n = 29), GDMd (n = 37), and GHd (n = 25), dominated by asymptomatic healthy donors (62.07%), gestational diabetes mellitus (GDM) donors (40.54%), and gestational hypertension (GH) donors (40%), respectively. There was a significant difference in β-diversity (p < 0.01) and α-diversity (p < 0.05) among the three groups. At the phylum level, the Firmicutes of the GHd group were significantly lower than those of the AHd group (p = 0.039), while Bacteroidetes (p = 0.005) and Proteobacteria (p = 0.002) of the GHd group were more dominant than those of the AHd group. At the genus level, the linear discriminant analysis effect size showed that SIgA-targeted Enterococcus was the dominant taxonomic biomarker of the AHd group, and the GHd group was enriched with Escherichia and Streptococcus. The GDMd and GHd groups had higher faecal calprotectin, serum lipopolysaccharide, zonulin, and GLYCAM-1 levels. We conclude that the occurrence of complications in the third trimester may be related to intestinal barrier injury associated with disorders of the intestinal SIgA-targeted microbiota; gut barrier injury triggers inflammation in pregnant women. SIgA-targeted L. reuteri showed a significant correlation with low inflammatory response and may be a potential probiotic candidate for preventing pregnancy complications.",pubmed,abstract,임신부와 태아 또는 신생아,임신 중 식이보충제 또는 허브 보충제 노출,"비노출, 위약 또는 통상 산전관리","산모 독성, 임신 합병증, 선천성 이상, 태아·신생아 이상반응","무작위시험, 임신 코호트, 환자-대조군, 등록자료 연구, 증례군, 체계적 고찰"
v3ref-0002,pubmed:30149482,HRS3_PREGNANCY,"Natural drugs, not so natural effects: Neonatal abstinence syndrome secondary to 'kratom'.","BACKGROUND: Mitragyna speciosa, also known as kratom, is obtained from the coffee plant family 'Rubiaceae.' Kratom is available in the form of capsules, whole, processed and powdered leaves, and as liquids. Secondary to its 'natural herb' status and opioid effects, it is misconceived to be a safe alternative for the treatment of chronic pain. The use of kratom has increased by tenfold in the United States since 2010.
METHODS AND RESULTS: We report a term neonate who was born to a chronic kratom user and required treatment with opiates for neonatal drug withdrawal.
CONCLUSION: Physicians should be aware of these herbal supplements and its potential withdrawal effects in newborn which cannot be picked up by the standard toxicology screen.",pubmed,abstract,임신부와 태아 또는 신생아,임신 중 식이보충제 또는 허브 보충제 노출,"비노출, 위약 또는 통상 산전관리","산모 독성, 임신 합병증, 선천성 이상, 태아·신생아 이상반응","무작위시험, 임신 코호트, 환자-대조군, 등록자료 연구, 증례군, 체계적 고찰"
v3ref-0003,pubmed:37706365,HRS4_LIVER_DISEASE,A food product as a potential serious cause of liver injury.,"INTRODUCTION: Drug-induced liver injury can be challenging to diagnose, as it can develop following the use of many prescription and nonprescription medications, herbals, and dietary supplements. Food products may not be routinely considered as a potential cause of hepatotoxicity. We describe the clinical features of two cases of acute liver injury following consumption of a smoothie product.
CASE PRESENTATIONS: Two patients independently presented to the hospital with epigastric pain and acute liver injury. Both patients had consumed a new smoothie product in the same month that they presented to the hospital, with a recurrence of acute liver injury with further consumption. A diagnosis of drug-induced liver injury was established after the evaluation excluded other causes of liver injury. It was thought that a natural ingredient in the smoothie, tara flour, was the cause of hepatotoxicity based on prior news reports. Both patients stopped drinking the smoothie product with subsequent normalization of liver enzyme activities and no further recurrence of epigastric pain.
CONCLUSION: The diagnosis of drug-induced liver injury largely relies on a compatible history and exclusion of other causes of liver injury. We demonstrate the importance of considering new food products in the differential diagnosis of acute liver injury.",pubmed,abstract,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0004,pubmed:22943726,HRS3_PREGNANCY,Severe liver dysfunction during nausea and vomiting of pregnancy: folic acid supplement as a suggested culprit.,,pubmed,title_only,임신부와 태아 또는 신생아,임신 중 식이보충제 또는 허브 보충제 노출,"비노출, 위약 또는 통상 산전관리","산모 독성, 임신 합병증, 선천성 이상, 태아·신생아 이상반응","무작위시험, 임신 코호트, 환자-대조군, 등록자료 연구, 증례군, 체계적 고찰"
v3ref-0005,pubmed:40381110,HRS2_KIDNEY_DISEASE,Anti-sarcopenic effect of leucine-enriched branched-chain amino acid supplementation among elderly chronic kidney disease patients: a double-blinded randomized controlled trial.,"BACKGROUND: Leucine, a branched-chain amino acid (BCAA), is an effective nutritional strategy to enhance skeletal muscle mass in aging populations. This study aimed to evaluate the effects of oral leucine-enriched BCAA supplementation on muscle mass, muscle synthesis biomarkers, and physical performance in elderly patients with chronic kidney disease (CKD).
METHODS: A randomized controlled trial was conducted among CKD patients aged over 65 years. The participants were randomly assigned to receive either oral mixed BCAA supplementation (60% leucine, 4.5 g/day; 20% valine, 1.5 g/day; 20% isoleucine, 1.5 g/day) (N = 29) or a placebo (N = 26) for 12 weeks. Muscle mass, serum insulin-like growth factor 1 (IGF-1), and myostatin levels were measured at baseline and after 12 weeks. A 3-day food record was reviewed by a dietitian, and functional capacity was assessed using handgrip and 6-min walk tests.
RESULTS: Fifty-five patients (mean age 75.4 ± 5.2 years) were enrolled. Daily protein and calorie intake were comparable between groups. At study conclusion, lean muscle mass significantly increased in the leucine group compared to placebo (0.4 kg [95% CI 0.1-0.7] vs. - 0.2 kg [95% CI - 0.6-0.2], P = 0.010). A significant difference in the percentage change in muscle mass was also observed (1.0 ± 1.8% vs. - 0.5 ± 2.6%, P = 0.014). No significant differences were found in muscle strength, serum myostatin, IGF-1, or adverse events.
CONCLUSIONS: Leucine-enriched BCAA supplementation for 12 weeks significantly increased muscle mass but did not impact biomarkers of muscle activity or functional capacity in elderly CKD patients.
CLINICAL TRIAL REGISTRATION: TCTR20200314003.",pubmed,abstract,만성콩팥병 또는 투석 환자,"비처방 비타민, 무기질 또는 허브 보충제 노출","비노출, 위약 또는 통상 관리","고칼륨혈증, 고칼슘혈증, 신독성, 심혈관 이상반응","무작위시험, 코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0006,pubmed:40555541,HRS4_LIVER_DISEASE,Rare association between hepatotoxicity and sideroblastic anaemia after taking Garcinia cambogia-based dietary supplement.,"We report a rare case of lead poisoning after taking a dietary supplement which was bought online. A woman in her 60s presented with symptomatic anaemia and hepatitis for 2 weeks. Bone marrow examination showed sideroblastic anaemia and subsequent blood tests confirmed lead poisoning. She was successfully treated with a course of the chelating agent succimer. Further history and investigations showed that she had taken a Garcinia cambogia (GC)-based multi-ingredients dietary supplement in the form of capsules for weight reduction and that the lead content within the capsules was very high. Our case illustrates that hepatotoxicity can be associated with the use of dietary supplements. Moreover, blood lead levels should be checked when there is associated sideroblastic anaemia.",pubmed,abstract,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0007,pubmed:33731638,HRS1_PERIOPERATIVE,Antithrombin Supplementation May Not Decrease Heparin Requirements nor Diminish the Prevalence of Bleeding and/or Thrombosis in Adult Patients on Venovenous Extracorporeal Membrane Oxygenation: Enough Evidence for a Definitive Banning Order?,,pubmed,title_only,수술 또는 침습적 시술을 받는 성인,수술 전 식이보충제 또는 허브 보충제 노출,"비노출, 중단, 또는 통상 수술주위 관리","출혈, 수혈, 마취 상호작용, 수술주위 합병증","무작위시험, 코호트, 환자-대조군, 단면연구, 증례군, 체계적 고찰"
v3ref-0008,pubmed:16187178,HRS4_LIVER_DISEASE,Herbal medicines for liver diseases.,"Herbal medicines have been used in the treatment of liver diseases for a long time. A number of herbal preparations are available in the market. This article reviews four commonly used herbal preparations: (1) Phyllanthus, (2) Silybum marianum (milk thistle), (3) glycyrrhizin (licorice root extract), and (4) Liv 52 (mixture of herbs). Phyllanthus has a positive effect on clearance of HBV markers and there are no major adverse effects; there are no data from randomized controlled trials on clinically relevant outcomes, such as progression of chronic hepatitis to cirrhosis and/or liver cancer, and on survival. Silymarin does not reduce mortality and does not improve biochemistry and histology among patients with chronic liver disease; however, it appears to be safe and well tolerated. Stronger neominophagen C (SNMC) is a Japanese preparation that contains 0.2% glycyrrhizin, 0.1% cysteine, and 2% glyceine. SNMC does not have antiviral properties; it primarily acts as an anti-inflammatory or cytoprotective drug. It improves mortality in patients with subacute liver failure and improves liver functions in patients with subacute hepatic failure, chronic hepatitis, and cirrhosis with activity. SNMC does not reduce mortality among patients with cirrhosis with activity. SNMC may prevent the development of hepatocellular carcinoma in patients with chronic hepatitis C, however, prospective data are lacking. Liv 52, an Ayurvedic hepatoprotective agent, is not useful in the management of alcohol-induced liver disease. Standardization of herbal medicines has been a problem and prospective, randomized, placebo-controlled clinical trials are lacking to support their efficacy. The methodological qualities of clinical trials of treatment with herbal preparations are poor. The efficacy of these herbal preparations need to be evaluated in rigorously designed, larger randomized, double-blind, placebo-controlled multicenter trials.",pubmed,abstract,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0009,pubmed:11902035,HRS4_LIVER_DISEASE,Dietary supplement. Is kava safe?,,pubmed,title_only,기존 간질환이 있는 성인 또는 소아 환자,식이보충제 또는 허브 보충제 노출,비노출 또는 통상 관리,"약인성 간손상, 간기능 악화, 간부전, 입원","코호트, 환자-대조군, 약물감시 연구, 증례군, 체계적 고찰"
v3ref-0010,pubmed:9089914,HRS3_PREGNANCY,Isihlambezo: utilization patterns and potential health effects of pregnancy-related traditional herbal medicine.,"Isihlambezo is a herbal decoction used by many Zulu women in South Africa as a preventative health tonic during pregnancy. Though the practice is cited by ethnographers and medical practitioners, few studies have focused on specific elements of isihlambezo use and preparation. Moreover, though some evidence exists suggesting negative effects of its ingestion, the maternal-fetal health impact and toxicity of isihlambezo have not been adequately studied. We examined two aspects of this traditional antenatal health practice: (1) the potential impact of urbanization and access to Western clinic-based care on popularity and utilization patterns of isihlambezo, and (2) the potential maternal-fetal health effects of its use. Interviews were conducted among rural and urban women in clinic and non-clinic settings regarding socio-behavioral aspects of isihlambezo use. The pharmacology of certain plant ingredients of isihlambezo was investigated through laboratory assays, literature review, and interviews with traditional healers. There were significant differences by area of interview in nearly all aspects of isihlambezo use examined. Though isihlambezo was most popular among urbanites and clinic non-attenders, it was considered an important antenatal health care alternative by the majority of women surveyed. Mixing traditional and clinic-based antenatal care was also strongly advocated. Pharmacological analysis suggested the possibility of both therapeutic and harmful consequences of isihlambezo. It was suggested that the following factors might contribute the popularity of isihlambezo among urban women: high cost and inferior quality of clinic care, use of isihlambezo as a means of adapting to urbanization-related stress, and socio-cultural transition.",pubmed,abstract,임신부와 태아 또는 신생아,임신 중 식이보충제 또는 허브 보충제 노출,"비노출, 위약 또는 통상 산전관리","산모 독성, 임신 합병증, 선천성 이상, 태아·신생아 이상반응","무작위시험, 임신 코호트, 환자-대조군, 등록자료 연구, 증례군, 체계적 고찰"
