metric,observed_value,unit,stage,source_path,derivation,status,note
pubmed_hit_all_runs_sum,12023,records,mixed pilot runs,data/legacy_unverified/baseline-33658e3/systematic_search/search_runs.csv,sum(hit_count) across 4 runs,invalid_as_research_result,"This is the 12,023 homepage value and mixes May 31 and June 3 runs."
pubmed_hit_latest_date,8957,records,2026-06-03,data/legacy_unverified/baseline-33658e3/systematic_search/search_runs.csv,sum(hit_count) where search_date is latest,pilot_truncated,"The June 3 runs total 8,957 hits but each exported only top 100 by relevance."
pubmed_stored_cumulative,236,records,retrieved rows,data/legacy_unverified/baseline-33658e3/systematic_search/retrieved_records.csv,CSV row count,legacy_unverified,Cumulative candidates are not full exports or included studies.
secondary_hit_total,252502,hits,mixed Europe PMC and Crossref,data/legacy_unverified/baseline-33658e3/systematic_search/secondary_search_runs_20260603.csv,sum(hit_count),invalid_as_evidence_volume,"The 252,502 total mixes bibliographic Crossref and overlapping Europe PMC hits."
secondary_stored_records,80,records,top 20 per query,data/legacy_unverified/baseline-33658e3/systematic_search/secondary_search_runs_20260603.csv,sum(stored_records),pilot_truncated,Stored 80 records from four capped queries.
screening_classifier_exclude_duplicate,1,records,automated title/abstract triage,data/legacy_unverified/baseline-33658e3/systematic_search/screening_log.csv,count where suggested_decision=exclude_duplicate,not_human_screening,Must not be reported as final inclusion/exclusion.
screening_classifier_include_candidate,196,records,automated title/abstract triage,data/legacy_unverified/baseline-33658e3/systematic_search/screening_log.csv,count where suggested_decision=include_candidate,not_human_screening,Must not be reported as final inclusion/exclusion.
screening_classifier_likely_exclude,21,records,automated title/abstract triage,data/legacy_unverified/baseline-33658e3/systematic_search/screening_log.csv,count where suggested_decision=likely_exclude,not_human_screening,Must not be reported as final inclusion/exclusion.
screening_classifier_manual_review_low,10,records,automated title/abstract triage,data/legacy_unverified/baseline-33658e3/systematic_search/screening_log.csv,count where suggested_decision=manual_review_low,not_human_screening,Must not be reported as final inclusion/exclusion.
screening_classifier_maybe_needs_manual_review,8,records,automated title/abstract triage,data/legacy_unverified/baseline-33658e3/systematic_search/screening_log.csv,count where suggested_decision=maybe_needs_manual_review,not_human_screening,Must not be reported as final inclusion/exclusion.
legacy_sources,126,sources,legacy knowledge pack,data/legacy_unverified/baseline-33658e3/knowledge_pack.json,len(sources),legacy_unverified,Mixed evidence layers.
legacy_evidence_chunks,176,chunks,legacy knowledge pack,data/legacy_unverified/baseline-33658e3/knowledge_pack.json,len(evidence_chunks),legacy_unverified,Chunks are not validated evidence claims.
legacy_rules,110,rules,legacy knowledge pack,data/legacy_unverified/baseline-33658e3/knowledge_pack.json,len(safety_rules),legacy_unverified,"All carry starter_validated, which is not accepted as thesis validation."
current_ui_rules,37,rules,ingredient-only study filter,src/lib/study-scope.ts + data/legacy_unverified/baseline-33658e3/knowledge_pack.json,rules where ingredient_id is in current studyIngredientIdSet,scope_contaminated,Includes explicitly out-of-protocol ingredients.
current_ui_sources,46,sources,ingredient-only study filter,src/lib/knowledge/index.ts + data/legacy_unverified/baseline-33658e3/knowledge_pack.json,unique source_ids for current UI rules,legacy_unverified,Displayed as evidence sources despite no validated claim layer.
current_ui_evidence_chunks,66,chunks,ingredient-only study filter,src/lib/knowledge/index.ts + data/legacy_unverified/baseline-33658e3/knowledge_pack.json,unique evidence_chunk_ids for current UI rules,legacy_unverified,Displayed as evidence chunks despite no validated claim layer.
legacy_scenarios,5,scenarios,developer-created baseline,data/legacy_unverified/baseline-33658e3/systematic_search/scenario_evaluation_20260603.csv,CSV row count,not_independent_validation,Five scenarios cannot support performance claims.
