record_id,question_id,pmid,pmcid,title,agent_study_design,population_evidence,intervention_or_exposure,dose_mentions,comparator_evidence,safety_outcome_evidence,numeric_result_candidate_sentences,evidence_sentence_count,numeric_result_candidate_count,source_body_sha256,evidence_table_sha256,extraction_authority,human_verified,eligible_study,rob_completed,grade_completed,effect_estimate_verified
REC-PUBMED-24052022,A1,24052022,PMC4038335,"Vitamin K intake, body mass index and warfarin maintenance dose",cohort,"Warfarin acts by inhibiting vitamin K epoxide reductase (VKORC1) thereby inhibiting vitamin K dependent activation of coagulation factors (II, VII, IX and X). || We hypothesized that obese individuals may have higher amounts of vitamin K in tissues and therefore require higher warfarin maintenance doses after adjusting for known determinants of warfarin response. || Whether BMI modifies the relationship between vitamin K and warfarin response is not known. || We investigated whether the relation between vitamin K intake and response to warfarin is modified by body fat at initiation of warfarin therapy.",vitamin k,"1,513 μg || 9 g || 11.7 μg|714.7 μg || 129 μg|250 μg",,"Warfarin acts by inhibiting vitamin K epoxide reductase (VKORC1) thereby inhibiting vitamin K dependent activation of coagulation factors (II, VII, IX and X). || Indeed in patients treated with phenprocoumon, a coumarin derivative which inhibits vitamin K reductase thereby blocking vitamin K-dependent coagulation factors, the dose and time required to attain desirable international normalized ratio (INR) is directly correlated with body mass index (BMI) in a dose-dependent manner [6]. || Factors influencing warfarin response, including warfarin loading dose, INR, concurrent medications and intake of alcohol and vitamin K, were documented. || Estimates of vitamin K intake from DR have been used in other studies and show positive correlation with warfarin dose required to attain INR [12].",,28,0,f7031515efdad19343cf758a295bb3697093772381850dc189f166b941a5453a,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
REC-PUBMED-26566518,A1,26566518,PMC4641985,Association Between Usual Vitamin K Intake and Anticoagulation in Patients Under Warfarin Therapy,retrospective_survey,"Warfarin is a vitamin K antagonist that is prescribed for patients who are at increased risk of blood clot formation. || Warfarin produces an anticoagulant effect by interfering with the regeneration of vitamin K hydroquinone from vitamin K epoxide. || A high intake of vitamin K is believed to be an inhibiting factor for anticoagulation therapy [11]. || On the other hand, low intake of vitamin K has been recognized as a risk factor that causes instability of the anticoagulant effect.",vitamin k,45.2-150.8 µg/day|164.5-326.9 µg/day|328.9-757.9 µg/day || 165.2 µg/day || 45.2-757.9 µg/day || 166.6 µg/day|156.3 µg/day,The average usual intake of vitamin K was higher in men compared with women (289.0 ± 166.6 µg/day for male and 216.2 ± 156.3 µg/day for female).,"Dietary vitamin K is an independent factor that influences changes in INR [9]. || Vitamin K provides function for blood coagulation by helping carboxylation of vitamin K-dependent coagulation factors. || A high intake of vitamin K results in reduction of INR and low dose of vitamin K increases INR [9]. || A high intake of vitamin K is believed to be an inhibiting factor for anticoagulation therapy [11]. || When patients receiving warfarin therapy were divided into stable INR group and unstable INR group, the mean daily intake of vitamin K in the unstable INR group was significantly lower than that in the stable INR group [14]. || A study on the relationship of vitamin K intake and stability of anticoagulation control in patients taking long term warfarin confirmed that increasing vitamin K intake resulted in the reduction of warfarin sensitivity [15].",,31,0,38ffabe89d2fbc559ce14e185375f4e966fbf43b83aa1e2a3e2583a11bea46f5,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
REC-PUBMED-26962786,A1,26962786,PMC4998867,Interaction Between Dietary Vitamin K Intake and Anticoagulation by Vitamin K Antagonists: Is It Really True?,systematic_review,"The vitamin K antagonists (VKAs, e.g., warfarin) continue to be commonly used to prevent ischemic stroke in patients with atrial fibrillation (AF), with an approximately risk reduction of 64%, and with a decrease in all-cause mortality by 26%.1 VKAs are also widely prescribed in patients with venous thromboembolism (VTE), and represent the treatment of choice for patients with prosthetic heart valves. || There are significant differences among Western countries in anticoagulation management of AF,2 with a large underuse of warfarin worldwide for several reasons, including bleeding risk perception by physicians, suboptimal compliance, and inability of an adequate INR monitoring for logistic and/or laboratory issues.3 Another common concern with the use of warfarin is a putative interaction with food rich in vitamin K.4 || The common belief is that dietary vitamin K intake could counteract the anticoagulant effect by warfarin.5,6 Thus, for many years, patients treated with VKAs have been advised to reduce dietary vitamin K content to avoid a food–drug interaction influencing anticoagulation stability. || In particular, the 2003 AHA/ACC Foundation Guide to Warfarin Therapy6 reported that increased intake of dietary vitamin K, sufficient to reduce the anticoagulant response to warfarin, occurs in patients consuming green vegetables, but this indication was supported by a study referring to vitamin K supplementation, rather than dietary vitamin K intake.6",vitamin k,1100 μg|135 μg|1000 μg || 250 μg/day || 3 g|320 μg/day|225 to 320 μg/day|225 μg/day || 3 g|712 μg|100 g|180 μg|100 g|95 μg|100 g || 195.7 μg/day|126.5 μg/day || 300 μg/day|100 μg/day || 76 to 217 μg || 150 μg/day|118 g/day|106 g/day|30 g/day,"In a large nested case-control study,20 the relationship between dietary vitamin K and coagulation was investigated in 300 patients with an INR ≥6 compared with 302 patients with stable anticoagulation, defined as having at least 66% of the INRs within the target zone, and no INR ≥5.5 in the 3 previous months. || Median vitamin K intake was lower among patients who had less coefficient of variation (CV) of INR (<10%) compared with unstable patients (CV >10%) [12 (7–14) versus 14 (7–19), respectively, P = 0.012]. || Finally, 3 studies found that patients with higher dietary vitamin K intake had a more stable anticoagulation.22,23 For example, Kim et al22 found that high vitamin K intake (>195.7 μg/day) group had lower CV of INR than the low intake (<126.5 μg/day) group (19.2 ± 8.96 % versus 25.5 ± 8.61 %, P <0.05).","The vitamin K antagonists (VKAs, e.g., warfarin) continue to be commonly used to prevent ischemic stroke in patients with atrial fibrillation (AF), with an approximately risk reduction of 64%, and with a decrease in all-cause mortality by 26%.1 VKAs are also widely prescribed in patients with venous thromboembolism (VTE), and represent the treatment of choice for patients with prosthetic heart valves. || There are significant differences among Western countries in anticoagulation management of AF,2 with a large underuse of warfarin worldwide for several reasons, including bleeding risk perception by physicians, suboptimal compliance, and inability of an adequate INR monitoring for logistic and/or laboratory issues.3 Another common concern with the use of warfarin is a putative interaction with food rich in vitamin K.4 || The common belief is that dietary vitamin K intake could counteract the anticoagulant effect by warfarin.5,6 Thus, for many years, patients treated with VKAs have been advised to reduce dietary vitamin K content to avoid a food–drug interaction influencing anticoagulation stability. || We selected and included in this review all original research studies, both observational and interventional, including patients treated with VKAs (all types) for any indication, and addressing the relationship between dietary vitamin K intake and any coagulation measure (e.g., INR/PT, variation over time, VKAs dose). || Since the objective of the review was to summarize evidence on the relationship between the intake of vitamin K contained in a real-life diet and changes in coagulation parameters, we excluded all studies that reported a diet supplemented with vitamins or individual foods. || We performed a systematic review of the literature using MEDLINE via Pubmed and Cochrane database up to October 2015, searching for a combination of “food,” “diet,” “vitamin K,” “phylloquinone,” “warfarin,” “INR,” “coagulation,” and “anticoagulant” to identify all studies on this topic of potential interest.","The vitamin K antagonists (VKAs, e.g., warfarin) continue to be commonly used to prevent ischemic stroke in patients with atrial fibrillation (AF), with an approximately risk reduction of 64%, and with a decrease in all-cause mortality by 26%.1 VKAs are also widely prescribed in patients with venous thromboembolism (VTE), and represent the treatment of choice for patients with prosthetic heart valves. || In the second interventional study, the authors performed a 4-day in-hospital dietary intervention assigning 12 patients on stable anticoagulation, defined as 2 consecutive INR values between 2.0 and 3.0,17 to receive a vitamin K-depleted (80% decrease) or enriched (500% increase) diet, relative to the baseline level,17 and assessing the effect on 3 INR measurements. || In a large nested case-control study,20 the relationship between dietary vitamin K and coagulation was investigated in 300 patients with an INR ≥6 compared with 302 patients with stable anticoagulation, defined as having at least 66% of the INRs within the target zone, and no INR ≥5.5 in the 3 previous months. || In a study including 115 patients treated with VKAs for arterial disease or VTE,21 recent phylloquinone intake was inversely correlated with PT (r = −0.22, P = 0.017) and INR (r = −0.23, P = 0.011), whereas there was a positive association between habitual vitamin K intake and median warfarin dose (r = 0.23, P = 0.011). || Median vitamin K intake was lower among patients who had less coefficient of variation (CV) of INR (<10%) compared with unstable patients (CV >10%) [12 (7–14) versus 14 (7–19), respectively, P = 0.012]. || Finally, 3 studies found that patients with higher dietary vitamin K intake had a more stable anticoagulation.22,23 For example, Kim et al22 found that high vitamin K intake (>195.7 μg/day) group had lower CV of INR than the low intake (<126.5 μg/day) group (19.2 ± 8.96 % versus 25.5 ± 8.61 %, P <0.05).",37,8,e433c6cd6f904e1765e5c4e868d241276627399dbc060bbb2fa61aa9fd0efdcc,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
REC-PUBMED-35105600,A1,35105600,PMC8808436,Vitamin K-dependent anticoagulant use and level of anticoagulation control in sub-Saharan Africa: protocol for a retrospective cohort study,cohort,"This continental study will provide insights into the types of vitamin K-dependent anticoagulants (VKAs) and anticoagulation control levels in sub-Saharan Africa (SSA). || Vitamin K-dependent anticoagulants (VKAs) continue to be the principal anticoagulants for treating and preventing thromboembolism in Africa. || They produce their anticoagulant effects by interfering with the cyclic interconversion of vitamin K and its 2,3 epoxide, thus inhibiting γ-carboxylation of glutamate residues at the amino-terminals of coagulation factors II (prothrombin), VII, IX and X, as well as of the anticoagulant proteins C, S and Z.1 2 As a result, VKA induces hepatic production of partially decarboxylated coagulation factors with reduced coagulant activity.2 While warfarin is the most widely used VKA, other anticoagulants in this group include acenocoumarol, phenprocoumon and phenindione.3 || Although non-vitamin K oral anticoagulants are apparent alternatives to VKA therapy for many indications (except mechanical valves and valvular atrial fibrillation), their uptake in African settings is limited by their high cost.",vitamin k,,,"This continental study will provide insights into the types of vitamin K-dependent anticoagulants (VKAs) and anticoagulation control levels in sub-Saharan Africa (SSA). || Vitamin K-dependent anticoagulants (VKAs) continue to be the principal anticoagulants for treating and preventing thromboembolism in Africa. || They produce their anticoagulant effects by interfering with the cyclic interconversion of vitamin K and its 2,3 epoxide, thus inhibiting γ-carboxylation of glutamate residues at the amino-terminals of coagulation factors II (prothrombin), VII, IX and X, as well as of the anticoagulant proteins C, S and Z.1 2 As a result, VKA induces hepatic production of partially decarboxylated coagulation factors with reduced coagulant activity.2 While warfarin is the most widely used VKA, other anticoagulants in this group include acenocoumarol, phenprocoumon and phenindione.3 || Study sites for vitamin K-dependent anticoagulant (VKA) use and level of anticoagulation control in sub-Saharan Africa",,6,0,0e5c79ad132b866c8051a50df6d207f49f6627d524c336715e9d97e82c7ca600,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
REC-PUBMED-22651380,A2,22651380,PMC3534595,Interactions of commonly used dietary supplements with cardiovascular drugs: a systematic review,systematic_review,"Insufficient evidence was available from 22 studies (21 RCTs and one retrospective cohort study) which examined omega-3 fatty acids plus statins [37,38,41,52,72,76,81-83,96,103], aspirin [46,51,77,80,84], aspirin and clopidogrel [99], aspirin in combination with dipyridamole and calcium channel blockers [51], warfarin [46,54], ramipril and/or irbesartan [78], or fenofibrate [55].",omega-3 EPA/DHA,250 mg/day || 200 mg || 4 g/day || 2 to 4 g/day,"In three open-label RCTs of healthy adult volunteers (sample size range 24 to 50) [37,83,96] taking 4 g/day omega-3 fatty acids and rosuvastatin, atorvastatin, 2-hydroxy atorvastatin, or 4-hydroxy atorvastatin, no statistically significant or clinically important differences were observed between the treatment and control groups for steady state AUC and Cmax GMRs (grade: low).","Evidence from two studies on the incidence of restenosis following successful coronary angioplasty in patients taking omega-3 fatty acids as an add-on to antiplatelet and calcium channel antagonist therapies was conflicting. || There is inconsistent evidence for a benefit when omega-3 fatty acids were added to conventional antiplatelet therapy and calcium channel antagonists on rates of acute myocardial infarction [50,51]. || Omega-3 fatty acids (2 to 4 g/day) from fish and/or supplements likely do not interfere with the efficacy of statin therapy or calcium channel blockers in the presence of antiplatelet agents, and may provide an independent benefit in resolving hypertriglyceridemia. || With respect to the supplements considered in our review, Desai concluded that omega-3 fatty acids along with aspirin led to significantly greater reductions in adenosine diphosphate-induced platelet aggregation, blood platelet count, thromboxane B2 and restenosis rates, as well as prolonged bleeding time.",,8,0,14a6354af7a42739f29ef94dbea52e9aafa3b9e9e9792b93cf70d38f3d0dbdc2,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
REC-PUBMED-23895505,A2,23895505,PMC3733694,A randomized controlled trial of eicosapentaenoic acid and/or aspirin for colorectal adenoma prevention during colonoscopic surveillance in the NHS Bowel Cancer Screening Programme (The seAFOod Polyp Prevention Trial): study protocol for a randomized controlled trial,systematic_review,,omega-3 EPA/DHA,500 mg per day || 500 mg|2 g daily || 2 g daily || 2 g daily|300 mg daily || 2 g daily|500 mg|300 mg daily|300 mg || 4 g || 2 g per day || 1 g per day|2 g daily,"The following primary hypotheses will be tested: i) EPA-FFA 2 g daily is more effective than placebo for reduction in adenoma recurrence; ii) Aspirin 300 mg daily is more effective than placebo for reduction in adenoma recurrence. || The seAFOod Polyp Prevention Trial is a randomized, double blind, placebo-controlled, 2 × 2 factorial trial of EPA-FFA 2 g daily and aspirin 300 mg daily. || Participants are randomised to one of four groups according to a 2 × 2 factorial design in order to receive gastro-resistant EPA-FFA 2 g daily per os (as 2 × 500 mg ALFA™ capsules [SLA Pharma AG] taken twice daily with food) or identical placebo (capric and capryllic acid medium-chain triglycerides) [15] AND enteric-coated aspirin 300 mg daily per os (as one 300 mg tablet taken with food) or identical placebo until the day before surveillance colonoscopy (Table 1). || If an adverse event is thought to be related to IMP, the dose of EPA-FFA or placebo can be temporarily reduced per protocol to 1 g per day aiming to increase the dose back to 2 g daily within 2 weeks.","Although it is not expected [9], increased bleeding risk associated with EPA-FFA alone, or in combination with aspirin, has not previously been evaluated in a large Phase III study.",,10,0,5babd6b40de6f43f5f230f3dcd3df39fdf9a49fd452ca0f8e2cbb11dafc1d437,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
REC-PUBMED-27657121,A2,27657121,PMC5037562,The Use of Fish Oil with Warfarin Does Not Significantly Affect either the International Normalised Ratio or Incidence of Adverse Events in Patients with Atrial Fibrillation and Deep Vein Thrombosis: A Retrospective Study,randomized_trial,"Data was screened for patients who had consumed fish oil or krill oil supplementation, or both, without the concurrent use of medications identified in the AMH 2015 [11] as having a known interaction with warfarin. || Of the 2081 patients assessed for inclusion into this study, a total of 573 warfarin users met the inclusion criteria after exclusions due to multiple interacting medications (1453 patients), less than 30 days of testing available (30 patients), and no start date of fish oil consumption (25 patients). || [34] randomised a smaller group of 11 patients already consuming warfarin to receive a four-week treatment period of either placebo capsules, 3 g of fish oil daily or 6 g of fish oil daily. || They reported no significant effect on the TTR of patients receiving chronic warfarin therapy and doses of 3–6 g of fish oil per day.",omega-3 EPA/DHA,1 g per day || 3 g|6 g || 6 g || 1000 to 2000 mg/day || 300 mg|4 g,"[34] randomised a smaller group of 11 patients already consuming warfarin to receive a four-week treatment period of either placebo capsules, 3 g of fish oil daily or 6 g of fish oil daily. || This study randomised 610 patients already consuming either 300 mg of aspirin daily or warfarin to receive 4 g of omega-3 fatty acids or placebo. || A total of 145 warfarin patients received a placebo and a total of 174 warfarin patients received omega-3 supplementation for a period of nine months.","The physiological benefit of omega-3 fatty acids arises from their influence on prostaglandins, platelets, lipids, and thrombi [19,20,21] resulting in anti-inflammatory actions [22] and multiple cardiovascular benefits [23] including a reduction of blood pressure [24]. || Two reports discussed an increase in INR following the initiation or increased dose of omega-3 supplementation [30,32], while the third discussed the occurrence of a major bleeding event without a relative increase in patient INR [31]. || [33] both reported incidences of patients experiencing an elevation in INR, potentially resulting from the consumption of fish oil supplementation. || [33] had an increase in INR following a doubling of her fish oil dose from 1000 to 2000 mg/day, followed by a fall in INR after returning to her original dose, to our knowledge, this is an isolated incident with no other similar reports to date. || [29] concluded that no excess in bleeding events could be accredited to the use of fish oil supplementation, even when given in addition to warfarin. || Omega-3 fatty acids, such as EPA and DHA found in fish and krill oil supplementation, exert their effect on the coagulation profile by two different mechanisms.",,19,0,a938d510646a1f722b391d586cd7f2c1a8e9234ea9c224bc9fa65c84729691c5,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
REC-PUBMED-35776157,A2,35776157,PMC9365742,Fatal adverse events of rivaroxaban combined with aspirin: an analysis using data from VigiBase,pharmacovigilance_database,"One hundred and eight cases (108/114, 94.7%) had diseases (hypertension in 21; stroke in seven; abnormal renal function and hemorrhage in two each; peptic ulcer in one), drugs (antiplatelet drugs in 16: clopidogrel in 11, larger dosage of aspirin in 5; anticoagulants in 3: low molecular weight heparin (LMWH), heparin, and warfarin in 1 each; non-steroidal anti-inflammatory drugs (NSAIDs) in 4: metamizole, meloxicam, indomethacin, and celecoxib in 1 each; P-glycoprotein (P-gp) inhibitor/Cytochrome P450 3A4(CYP3A4) inhibitor in 6: dronedarone in 4, amiodarone in 2; steroids in 1: prednisone; selective serotonin reuptake inhibitors(SSRIs) in 1: citalopram), or other risk factors (age ≥ 65 years old in 103; low body weight ≤ 50 kg in 5; alcoholism in 1; ginger in 1; fish oil in 1) that increased the risk of bleeding. || Rivaroxaban product information (Lexicomp) [21] mentioned in the interaction section: lipid emulsion (fish oil base) can enhance the effectiveness of anticoagulants, with the risk rating of C grade, which should be monitored during treatment.",omega-3 EPA/DHA,,,"One hundred and eight cases (108/114, 94.7%) had diseases (hypertension in 21; stroke in seven; abnormal renal function and hemorrhage in two each; peptic ulcer in one), drugs (antiplatelet drugs in 16: clopidogrel in 11, larger dosage of aspirin in 5; anticoagulants in 3: low molecular weight heparin (LMWH), heparin, and warfarin in 1 each; non-steroidal anti-inflammatory drugs (NSAIDs) in 4: metamizole, meloxicam, indomethacin, and celecoxib in 1 each; P-glycoprotein (P-gp) inhibitor/Cytochrome P450 3A4(CYP3A4) inhibitor in 6: dronedarone in 4, amiodarone in 2; steroids in 1: prednisone; selective serotonin reuptake inhibitors(SSRIs) in 1: citalopram), or other risk factors (age ≥ 65 years old in 103; low body weight ≤ 50 kg in 5; alcoholism in 1; ginger in 1; fish oil in 1) that increased the risk of bleeding. || In addition to the risk factors discussed above, there are other risk factors for bleeding events, such as low body weight [5] and intake of ginger [19, 20] or fish oil [21].","One hundred and eight cases (108/114, 94.7%) had diseases (hypertension in 21; stroke in seven; abnormal renal function and hemorrhage in two each; peptic ulcer in one), drugs (antiplatelet drugs in 16: clopidogrel in 11, larger dosage of aspirin in 5; anticoagulants in 3: low molecular weight heparin (LMWH), heparin, and warfarin in 1 each; non-steroidal anti-inflammatory drugs (NSAIDs) in 4: metamizole, meloxicam, indomethacin, and celecoxib in 1 each; P-glycoprotein (P-gp) inhibitor/Cytochrome P450 3A4(CYP3A4) inhibitor in 6: dronedarone in 4, amiodarone in 2; steroids in 1: prednisone; selective serotonin reuptake inhibitors(SSRIs) in 1: citalopram), or other risk factors (age ≥ 65 years old in 103; low body weight ≤ 50 kg in 5; alcoholism in 1; ginger in 1; fish oil in 1) that increased the risk of bleeding.",3,1,71ad21873c75be53e938aa012644628fd1c0a5ad10ccb241cd546b17fd04466d,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
REC-PUBMED-38811233,A2,38811233,PMC11537787,A Novel Risk Score for Major Bleeding in Japanese Patients with Non-Valvular Atrial Fibrillation: The J-RISK AF Study,randomized_trial,"In addition, in the patients divided into subgroups of those receiving warfarin or DOACs ( Fig.4B ) , the HED-[EPA]2-B3 score showed good calibration for major bleeding rates (modified Hosmer-Lemeshow test; P=0.876 and P=0.998, respectively). || In a sensitivity analysis, the HED-[EPA]2-B3 score also showed the best discrimination in patients taking warfarin, as well as those taking DOACs, with regard to the C-statistic ( Table 3 ) . || Our findings suggest that the HED-[EPA]2-B3 score outperformed the previous scores; the C-statistics of the HED-[EPA]2-B3 score (0.67, 0.67, and 0.64 in the total cohort, warfarin subgroup, and DOAC subgroup, respectively) indicated relatively good performance.",omega-3 EPA/DHA,11 g,,"Calibration was evaluated by plotting the event rates of major bleeding according to the HED-[EPA]2-B3 score and the calibration plot in the J-RISK AF cohort. || Based on this multivariable model’s regression coefficients, we propose a new score (“HED-[EPA]2-B3 score”): hypertension (SBP ≥ 150 mmHg), elderly (age 65-74 years old), and drugs (concomitant use of antiplatelets) are assigned 1 point each: elderly (age ≥ 75 years old), platelet ＜10×104/µl, and anemia (hemoglobin ＜11 g/dl) are 2 points; bleeding history is 3 points, resulting in a risk scheme with a possible range of 0 to 11 points. || Fig.2A shows the crude incidences of major bleeding stratified by HED-[EPA]2-B3 score in patients receiving OACs, as well as in those not receiving OACs as a reference (patient backgrounds are briefly presented in Supplemental Table 2 ). || Fig.3 shows the crude incidences of major bleeding stratified by HED-[EPA]2-B3 score in patients ≥ 75 years old ( Fig.3A ) and those with an eGFR ＜60 mL/min/1.73 m2 ( Fig.3B ) . || In addition, in the patients divided into subgroups of those receiving warfarin or DOACs ( Fig.4B ) , the HED-[EPA]2-B3 score showed good calibration for major bleeding rates (modified Hosmer-Lemeshow test; P=0.876 and P=0.998, respectively). || The principal findings of this study are as follows: (i) the incidence rate of major bleeding was 1.3% per patient-year in AF patients receiving OAC; (ii) on a multivariable model, an age 65-74 and ≥ 75 years old, SBP ≥ 150 mmHg, bleeding history, hemoglobin ＜11 g/dl, platelet count ＜10×104/µl, and concomitant use of antiplatelets were significantly associated with a higher incidence of major bleeding; and (iii) the novel HED-[EPA]2-B3 score had a predictive performance better than or comparable to previous bleeding risk scores, such as the HAS-BLED, ATRIA, ORBIT, and DOAC scores.","In addition, in the patients divided into subgroups of those receiving warfarin or DOACs ( Fig.4B ) , the HED-[EPA]2-B3 score showed good calibration for major bleeding rates (modified Hosmer-Lemeshow test; P=0.876 and P=0.998, respectively). || The principal findings of this study are as follows: (i) the incidence rate of major bleeding was 1.3% per patient-year in AF patients receiving OAC; (ii) on a multivariable model, an age 65-74 and ≥ 75 years old, SBP ≥ 150 mmHg, bleeding history, hemoglobin ＜11 g/dl, platelet count ＜10×104/µl, and concomitant use of antiplatelets were significantly associated with a higher incidence of major bleeding; and (iii) the novel HED-[EPA]2-B3 score had a predictive performance better than or comparable to previous bleeding risk scores, such as the HAS-BLED, ATRIA, ORBIT, and DOAC scores. || Given that patients with an annual incidence of major bleeding ＞2%–3%/year are at ‘high risk,’ patients with an HED-[EPA]2-B3 score ≥ 4 in the present cohort were considered at high risk for major bleeding.",12,3,1360a5876385132a5d27e932fd776d2382a1bcca21632d3b7ca118c7ee45e95c,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
REC-PUBMED-22341269,B1,22341269,PMC3722432,Impact of Calcium Intake and Intestinal Calcium Absorption on Kidney Stones in Older Women: The Study of Osteoporotic Fractures (SOF),cohort,"Regardless of the organ responsible for the hypercalciuria, the end result may be either a primary or secondary increase in intestinal fractional calcium absorption and this may predispose to the formation of kidney stones. || Fractional calcium absorption varies widely between individuals, ranging from 10–70%.3–5 Patients with hypercalciuria tend to have higher intestinal calcium absorption.6, 7 Small studies (n≤14 patients) have used radioactive calcium isotopes to evaluate the relationship between intestinal fractional calcium absorption and hypercalciuria.8–10 However, these studies have examined changes in urine calcium, but not the more relevant clinical endpoint of stone formation or stone episodes. || Until now, no previous study has directly evaluated the relationship between radioactive intestinal fractional calcium absorption and kidney stones. || Using data from the prospective multicenter Study of Osteoporotic Fractures (SOF), we explored the relationship between calcium absorption, calcium intake, and nephrolithiasis.",calcium,50 g|63 mg|120 g || 215 mg,,"Regardless of the organ responsible for the hypercalciuria, the end result may be either a primary or secondary increase in intestinal fractional calcium absorption and this may predispose to the formation of kidney stones. || Fractional calcium absorption varies widely between individuals, ranging from 10–70%.3–5 Patients with hypercalciuria tend to have higher intestinal calcium absorption.6, 7 Small studies (n≤14 patients) have used radioactive calcium isotopes to evaluate the relationship between intestinal fractional calcium absorption and hypercalciuria.8–10 However, these studies have examined changes in urine calcium, but not the more relevant clinical endpoint of stone formation or stone episodes. || Until now, no previous study has directly evaluated the relationship between radioactive intestinal fractional calcium absorption and kidney stones. || Using data from the prospective multicenter Study of Osteoporotic Fractures (SOF), we explored the relationship between calcium absorption, calcium intake, and nephrolithiasis. || We hypothesized that (1) higher intestinal fractional calcium absorption would be associated with an increased risk of historic nephrolithiasis; (2) higher dietary and supplemental calcium intake would decrease intestinal fractional calcium absorption; and (3) greater calcium intake would be associated with a decreased risk of historic nephrolithiasis. || Differences in mean fractional calcium absorption between women with and without a history of kidney stones were evaluated stratified by dietary calcium intake quintile at the time of the calcium absorption assay (visit 4).","Fractional calcium absorption varies widely between individuals, ranging from 10–70%.3–5 Patients with hypercalciuria tend to have higher intestinal calcium absorption.6, 7 Small studies (n≤14 patients) have used radioactive calcium isotopes to evaluate the relationship between intestinal fractional calcium absorption and hypercalciuria.8–10 However, these studies have examined changes in urine calcium, but not the more relevant clinical endpoint of stone formation or stone episodes. || For every dietary calcium intake quintile, fractional calcium absorption was higher in women with a history of nephrolithiasis (p<0.001) (Figure 1). || For each calcium supplementation history category, fractional calcium absorption was higher in women with a history of kidney stones (p<0.001) (Figure 2). || There was a trend towards higher mean daily dietary calcium intake in women without a history of nephrolithiasis (p=0.07). || Women with a history of nephrolithiasis were less likely to supplement calcium (p<0.001) and supplemented calcium at lower doses (p=0.02). || Women that supplemented calcium were 21–44% less likely to report a history of nephrolithiasis compared to women that never supplemented calcium (p<0.001 for trend) (Table 1).",49,20,4a4fbd2bf0808b88a959699f226f6a405d15337a2af90772d8bbe37d5065dcf3,37d9e6cfd8dc20e40b09f22d50380153bfe4f320283160db415f9a4103a292e8,agent_structured_extraction_only,,,false,false,false
