question_id,record_id,regex_passed,regex_signals,llm_decision,kept
HRS1_PERIOPERATIVE,pubmed:10839071,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:10861158,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:10876447,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11090733,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11103054,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:11111530,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:11132009,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11184531,false,exposure|population,uncertain,false
HRS1_PERIOPERATIVE,pubmed:11206893,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11251502,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:11266639,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11448284,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11493302,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11574384,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11712472,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11783211,false,outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:11789467,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:11940341,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:11958804,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:11969062,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:12122516,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:12134110,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:12190754,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:12351304,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:12393786,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:12422474,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:12514145,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:12528489,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:12575376,false,outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:12575883,false,population|outcome,uncertain,false
HRS1_PERIOPERATIVE,pubmed:12769317,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:13678141,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:13891485,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:14605480,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:14666012,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:14976886,false,population,retain,false
HRS1_PERIOPERATIVE,pubmed:14984852,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:15017578,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:15109694,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:15195032,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:15385077,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:15910344,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:15960738,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:16093231,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:16201292,false,outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:16261853,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:16281740,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:16337968,false,exposure|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:16543859,false,population,retain,false
HRS1_PERIOPERATIVE,pubmed:16613276,false,population,retain,false
HRS1_PERIOPERATIVE,pubmed:16669953,false,exposure|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:16758063,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:16932221,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:16935738,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:16955723,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:17058823,false,population,retain,false
HRS1_PERIOPERATIVE,pubmed:17064525,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:17094523,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:17128108,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:17312476,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:17382219,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:17430769,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:17432678,false,population,retain,false
HRS1_PERIOPERATIVE,pubmed:17466873,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:17633371,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:17640426,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:17672962,false,outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:17894152,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:18166748,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:18376362,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:18418648,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:18482012,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:18567171,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:18605369,false,exposure,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:18637616,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:18796123,false,outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:19116576,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:19153029,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:19224800,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:19338151,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:19476768,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:19526755,false,population,retain,false
HRS1_PERIOPERATIVE,pubmed:19570440,false,exposure|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:19590205,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:19825176,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:19921983,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:19922917,false,outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:19994614,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20052816,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20085130,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:20098971,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:20233176,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:20373930,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:20417509,false,,uncertain,false
HRS1_PERIOPERATIVE,pubmed:20581318,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:20599078,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20622656,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:20627706,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:20651752,false,exposure|outcome,uncertain,false
HRS1_PERIOPERATIVE,pubmed:20669666,false,exposure|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:20683279,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:20883870,false,outcome,uncertain,false
HRS1_PERIOPERATIVE,pubmed:20931479,false,,uncertain,false
HRS1_PERIOPERATIVE,pubmed:20954959,false,outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:20974030,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:21111880,false,outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:21195151,false,exposure|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:21336558,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:21423055,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:21575004,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:21624132,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:21625908,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:21912817,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:21987426,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:22048283,false,population,retain,false
HRS1_PERIOPERATIVE,pubmed:22063371,false,population,retain,false
HRS1_PERIOPERATIVE,pubmed:22076561,false,exposure|population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:22099619,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:22196577,false,population,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:22268970,false,exposure|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:22269200,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:22296924,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:22392970,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:22395325,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:22395326,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:22403970,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:22483186,false,exposure|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:22581258,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:22788052,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:22906201,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:22939643,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:22943356,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:23044161,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:23128104,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:23163143,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:23262963,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:23420598,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:23510951,false,population,retain,false
HRS1_PERIOPERATIVE,pubmed:23724529,false,outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:23829573,false,population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:23867209,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:24039820,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:24085049,false,,uncertain,false
HRS1_PERIOPERATIVE,pubmed:243856,false,,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:24462651,false,population|outcome,uncertain,false
HRS1_PERIOPERATIVE,pubmed:24488003,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:24587663,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:24992796,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:24993438,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:24996802,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:25106547,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:25140597,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:25199335,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:25264330,true,exposure|population|outcome,deprioritize,false
HRS1_PERIOPERATIVE,pubmed:25309668,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:25312751,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:25486915,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:25847559,false,exposure|population,retain,false
HRS1_PERIOPERATIVE,pubmed:25892528,false,population|outcome,retain,false
HRS1_PERIOPERATIVE,pubmed:26123286,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:26342151,true,exposure|population|outcome,retain,true
HRS1_PERIOPERATIVE,pubmed:26467546,false,exposure|population,retain,false
