resource,platform,access_type,search_access,export_access,full_text_access,status,alternative,verified_at,evidence_url,notes
MEDLINE,PubMed,public,available,E-utilities/XML/nbib available,link dependent,verified_public,,2026-07-10,https://pubmed.ncbi.nlm.nih.gov/download/,NCBI documents stable E-utilities and bulk data; final query requires protocol approval
Embase,Embase.com,subscription,landing reachable; current Chrome session shows Sign in and Check access,subscription-dependent,library/publisher dependent,external_human_blocker,"document nonaccess; use PubMed+CENTRAL+Scopus/WoS if available; citation chasing",2026-07-10,https://www.embase.com/,live Chrome check reached /landing?status=grey; no authenticated search entitlement observed
CENTRAL,Cochrane Library,mixed,public CENTRAL search and five question hit counts reachable; 2264 hits observed,total export unavailable without authentication; records exported 0,library/publisher dependent,verified_hitcount_proxy_export_blocked,"PubMed plus trial registries; licensed CENTRAL export; preserve final-search blocker until protocol/PRESS approval",2026-07-10,https://www.cochranelibrary.com/central,live browser observed A1/A2/B1/B2/B3 trial counts 1664/111/111/333/45 and authentication-required message; no top-N substitution
Scopus_or_WoS,Scopus preferred,subscription,preview homepage reachable; current Chrome session shows Sign in and Check access,authentication required,library/publisher dependent,external_human_blocker,"use whichever institution provides; otherwise citation chasing and registries",2026-07-10,https://www.scopus.com/pages/home,live Chrome check exposed Scopus Preview only; no authenticated document search entitlement observed
ClinicalTrials.gov,ClinicalTrials.gov API v2,public,available,JSON/CSV pagination available,registry only,verified_public,,2026-07-10,https://clinicaltrials.gov/data-about-studies/learn-about-api,daily weekday refresh; pageSize max 1000 with pagination
WHO_ICTRP,ICTRP Search Portal,public web plus controlled bulk,available,XML search export; crawling credentials required,registry only,verified_with_export_constraint,"portal manual XML export; request bulk/crawling access if needed",2026-07-10,https://www.who.int/tools/clinical-trials-registry-platform/the-ictrp-search-portal/search-tips,portal bridges duplicate registrations
KoreaMed,KoreaMed,public,official guidelines and five live queries executed; A1/A2/B1/B2/B3 hits 62/0/0/0/0,native Download attempted for all 62 A1 results but server temp-file permission error; complete displayed KMID/title capture 62,linked full text dependent,verified_complete_display_proxy_native_export_failed,"repeat native export after server repair; human screen all 62; retain exact-title PubMed linkage queue",2026-07-10,https://www.koreamed.org/Help.php,default ALL/implicit AND/quoted phrase syntax verified; 35 exact-normalized-title PubMed link candidates; final search false
KMbase,KMbase,public/mixed,public POST search transport verified with positive control 5 hits; A1/A2 pilot 0/0; long B1/B2/B3 drafts returned HTTP 500,records/export not yet captured,linked/institutional dependent,verified_transport_query_translation_blocked,"PRESS-review and split Boolean queries; capture records/export; retain KoreaMed and RISS",2026-07-10,https://kmbase.medric.or.kr/,controlled browser scripts did not execute; direct official form endpoint reproduced transport; final search false
RISS,RISS,public plus institutional,live public GET search verified; control 10859 hits and A1 design count 555; A2/B1/B2/B3 drafts 0,selected-record export documented but not executed in this pilot,document/institution dependent,verified_public_count_only_query_translation_pending,"PRESS-review and split Boolean queries; execute selected-record export; library document delivery",2026-07-10,https://www.riss.kr/index.do,final search false; records exported 0; full text may require institution
Full_text,Publisher/PMC/library,mixed,PMC ID Converter resolved 5563 public locator candidates from 19609 PMIDs,99 JSON batches plus candidate CSV; article retrieval not yet performed,non-PMC and license status unresolved,verified_public_locator_proxy,"PMC article retrieval; institutional library for non-PMC; author contact; preserve unavailable reason",2026-07-10,https://pmc.ncbi.nlm.nih.gov/tools/id-converter-api/,identifier resolution only; human full-text verification and eligibility decisions remain 0
