link_candidate_id,nct_id,registry_record_id,pmid,pubmed_record_id,reference_type,registry_question_ids,registry_title,pubmed_title,pubmed_doi,agent_recommendation,recommendation_reason,pubmed_in_search_corpus,source_context_sha256,decision_authority,human_link_decision,verified_by,verified_at
LINK-CTGOV-NCT00070655-PMID-18294998,NCT00070655,REC-CTGOV-NCT00070655,18294998,REC-PUBMED-18294998,DERIVED,A1,Evaluating the Use of SR34006 Compared to Warfarin or Acenocoumarol in Patients With Atrial Fibrillation (AMADEUS),"Comparison of idraparinux with vitamin K antagonists for prevention of thromboembolism in patients with atrial fibrillation: a randomised, open-label, non-inferiority trial.",10.1016/s0140-6736(08)60168-3,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,144d934f04ba7f9124b71fdcdde88470bf70345abfc2f8f63dbbe1137b1a280c,agent_prereview_only,,,
LINK-CTGOV-NCT00070655-PMID-19348685,NCT00070655,REC-CTGOV-NCT00070655,19348685,REC-PUBMED-19348685,DERIVED,A1,Evaluating the Use of SR34006 Compared to Warfarin or Acenocoumarol in Patients With Atrial Fibrillation (AMADEUS),Scoring and psychometric validation of the Perception of Anticoagulant Treatment Questionnaire (PACT-Q).,10.1186/1477-7525-7-30,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,5e4df3afef1c23c9e6c4d08fda7e65c642b660074d3c385c28e264048a71d906,agent_prereview_only,,,
LINK-CTGOV-NCT00070655-PMID-34320504,NCT00070655,REC-CTGOV-NCT00070655,34320504,REC-PUBMED-34320504,DERIVED,A1,Evaluating the Use of SR34006 Compared to Warfarin or Acenocoumarol in Patients With Atrial Fibrillation (AMADEUS),"Relationship between Chronic Kidney Disease, Time-in-Therapeutic Range, and Adverse Outcomes in Atrial Fibrillation: A post hoc Analysis from the AMADEUS Trial.",10.1159/000517608,probable_link_candidate_needs_validation,등록자료의 파생 참고문헌이지만 결과 보고서·후속 분석·도구 논문을 사람이 구분해야 합니다.,true,d98b67d4cc66f49d66f6c0e5a90e19b193833384371972e535bb0b19ce1ad726,agent_prereview_only,,,
LINK-CTGOV-NCT00120731-PMID-12549788,NCT00120731,REC-CTGOV-NCT00120731,12549788,REC-PUBMED-12549788,BACKGROUND,B1,Effects of Potassium Citrate in Urine of Children With Elevated Calcium in Urine and Kidney Stones,The optimal dose of potassium citrate in the treatment of children with distal renal tubular acidosis.,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,6230a2f3a2ec67f38f33a36ee0e87dbac7d2f3b11236ac3ab5c32d57342629c6,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-10073841,NCT00143715,REC-CTGOV-NCT00143715,10073841,REC-PUBMED-10073841,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,Intravenous versus subcutaneous vitamin K1 in reversing excessive oral anticoagulation.,10.1016/s0002-9149(98)00842-x,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,42cb6193ad92be5a7afb0e575676c604574d9b7bbca28036cf785edf0933b9e2,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-10597763,NCT00143715,REC-CTGOV-NCT00143715,10597763,REC-PUBMED-10597763,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,Time course of reversal of anticoagulant effect of warfarin by intravenous and subcutaneous phytonadione.,10.1001/archinte.159.22.2721,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,cee330e7b1567cd8afd749f9c78f7e396e049d18b24cf0b14bddba7149145a56,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-10847254,NCT00143715,REC-CTGOV-NCT00143715,10847254,REC-PUBMED-10847254,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,353fe70d8abe131b6b84fbd953bd0b8ebb9705049c158803d8d9d15adcacdef2,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-10908494,NCT00143715,REC-CTGOV-NCT00143715,10908494,REC-PUBMED-10908494,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,Duration of treatment with vitamin K antagonists in symptomatic venous thromboembolism.,10.1002/14651858.cd001367,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,c38f8dee2e1b9a4bb664f9fe307c424a25d238ff16a80134215f92afb04e1912,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-11075768,NCT00143715,REC-CTGOV-NCT00143715,11075768,REC-PUBMED-11075768,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,Treatment of warfarin-associated coagulopathy with oral vitamin K: a randomised controlled trial.,10.1016/s0140-6736(00)03125-1,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,true,a30e14fa3b2d420543e748fda7ac521c685b6233344084b6fde2c363fa7c97c3,agent_prereview_only,,,
LINK-CTGOV-NCT00143715-PMID-11279741,NCT00143715,REC-CTGOV-NCT00143715,11279741,REC-PUBMED-11279741,BACKGROUND,A1,Oral Vitamin K for Warfarin Associated Coagulopathy,,,likely_background_not_study_report_needs_validation,배경 참고문헌으로 분류되어 해당 등록시험 보고서가 아닐 가능성이 높지만 사람이 확인해야 합니다.,false,a768c1aa1e3cf26d0f400ee150c170843c4d0ebc5e81c9680f84545a998f3408,agent_prereview_only,,,
