record_id,source,target_id,search_run_id,title,abstract_or_summary,year,journal_or_source,doi,pmid,url,raw_record_id,dedup_key,duplicate_of,is_duplicate
pubmed:38811233:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,A Novel Risk Score for Major Bleeding in Japanese Patients with Non-Valvular Atrial Fibrillation: The J-RISK AF Study.,"AIM: Oral anticoagulants (OACs) reduce the risk of ischemic stroke but may increase the risk of major bleeding in patients with non-valvular atrial fibrillation (NVAF). Various risk scores, such as HAS-BLED, ATRIA, ORBIT, and DOAC, have been proposed to assess the risk of major bleeding in patients with NVAF receiving OACs. However, limited data are available regarding bleeding risk stratification in Japanese patients with NVAF.
METHODS: Of the 16,098 NVAF patients from the J-RISK AF study, the combined data of the five major AF registries in Japan (J-RHYTHM Registry, Fushimi AF Registry, Shinken Database, Keio interhospital Cardiovascular Studies, and Hokuriku-Plus AF Registry), we analyzed 11,539 patients receiving OACs (median age, 71 years old; women, 29.6%; median CHA2DS2-VASc score, 3).
RESULTS: During the 2-year follow-up period, major bleeding occurred in 274 patients (1.3% per patient-year). In a multivariate Cox proportional hazards analysis, an advanced age, hypertension (systolic blood pressure ≥ 150 mmHg), bleeding history, anemia, thrombocytopenia, and concomitant antiplatelet agents were significantly associated with a higher incidence of major bleeding. We developed a novel risk stratification system, HED-[EPA]2-B3 score, which had a better predictive performance for major bleeding (C-statistics 0.67, [95% confidence interval, 0.63-0.70]) than the HAS-BLED (0.64, [0.60-0.67], P for difference 0.02) and ATRIA (0.63, [0.60-0.66], P for difference ＜0.01) scores. Furthermore, it was non-significantly higher than the ORBIT (0.65, [0.62-0.68], P for difference 0.07) and DOAC (0.65, [0.62-0.68], P for difference 0.17) scores.
CONCLUSION: Our novel risk stratification system, the HED-[EPA]2-B3 score, may be useful for identifying Japanese patients receiving OACs at a risk of major bleeding.",2024,Journal of atherosclerosis and thrombosis,10.5551/jat.64842,38811233,https://pubmed.ncbi.nlm.nih.gov/38811233/,38811233,doi:10.5551/jat.64842,,false
pubmed:36304597:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,Dietary supplements and bleeding.,"An estimated one-third of US adults use herbal supplements, often without reporting that use to their physicians. These supplements can potentially alter bleeding and coagulation during surgery and when used concomitantly with anticoagulants. Our objective was to provide a comprehensive review of the evidence of bleeding risks of the most popular herbal and dietary supplements. A PubMed search and review of the literature was performed. We found that garlic and hawthorn supplementation is strongly associated with surgical bleeding independent of anticoagulants. Cordyceps sinensis, echinacea, and aloe vera are loosely associated with surgical bleeding independent of anticoagulants. In patients on anticoagulants, ginkgo biloba, chondroitin-glucosamine, melatonin, turmeric, bilberry, chamomile, fenugreek, milk thistle, and peppermint are associated with bleeding risk. No evidence was found for bleeding with these supplements independent of anticoagulants. Fish oil, ginseng, and saw palmetto are not associated with bleeding. Evidence for overall bleeding risk associated with St. John's wort, ginger, ginkgo biloba, or cranberry supplementation is conflicting. In conclusion, physicians must be aware of the potential anticoagulant effects of these supplements. It is imperative to report dietary and herbal supplement usage to physicians and is best to discontinue nonessential supplement use 2 weeks prior to surgery.",2022,Proceedings (Baylor University. Medical Center),10.1080/08998280.2022.2121575,36304597,https://pubmed.ncbi.nlm.nih.gov/36304597/,36304597,doi:10.1080/08998280.2022.2121575,,false
pubmed:35776157:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,Fatal adverse events of rivaroxaban combined with aspirin: an analysis using data from VigiBase.,"PURPOSE: The aim of this study was to analyze the clinical characteristics of fatal adverse events (AEs) of rivaroxaban combined with aspirin and to underline the importance of the rational use of drugs.
METHODS: The WHO global database of reported potential side effects of medicinal products (VigiBase) was searched for fatal AEs in the combined use of rivaroxaban and aspirin, and the clinical characteristics of those cases with sufficient information (vigiGrade completeness score ≥ 0.80) were analyzed.
RESULTS: By January 19, 2020, 2309 fatal adverse event reports of rivaroxaban combined with aspirin from 21 countries were entered in VigiBase. One hundred and twenty cases contained further information, of which 42 were female (35%) and 78 were male (65%). The median age was 75 (range 34 to 93) years, and 109 cases (91%) were elderly patients (≥ 65 years). The AEs listed in the fatal case reports included bleeding in 114 cases (mainly intracranial hemorrhage and gastrointestinal hemorrhage, 59 and 46 respectively, accounting for 88%) and ischemic events in six cases (ischemic stroke in three, acute myocardial infarction in two, myocardial infarction combined with acute liver failure in one). Among the patients with bleeding events, 108 (95%) had existing risk factors for bleeding or for interacting with aspirin or rivaroxaban. These may be divided into the following: diseases (hypertension, renal impairment, history of stroke, peptic ulcer, or previous bleeding), drugs (high dose aspirin, antiplatelet drugs, anticoagulants, P-gp inhibitors/CYP3A4 inhibitors, non-steroidal anti-inflammatory drugs, steroids, and selective serotonin reuptake inhibitors), or other factors (e.g., elderly, low body weight, or excessive intake of ginger, fish oil, or alcohol). There were 45 cases with two or more of these risk factors in addition to rivaroxaban and aspirin. Patients with ischemic events are often in very high-risk groups of atherosclerotic cardiovascular disease (ASCVD) or self-discontinuation of treated drugs. Medication errors occurred in 24 patients (20%): excessive treatment in 17 cases, contraindication in three, frequency error in two, excessive treatment combined with contraindication in one, and self-discontinuation in one.
CONCLUSIONS: Fatal AEs related to rivaroxaban combined with aspirin, including bleeding and ischemic events, have been reported mostly in the elderly, and sometimes involved medication errors. The fatal AEs mainly manifested as serious bleeding, and most of them occurred in patients with concurrent multiple risk factors. Monitoring coagulation during rivaroxaban treatment is recommended in very high-risk ASCVD populations, and attention should be paid to prevention of medication errors.",2022,European journal of clinical pharmacology,10.1007/s00228-022-03357-4,35776157,https://pubmed.ncbi.nlm.nih.gov/35776157/,35776157,doi:10.1007/s00228-022-03357-4,,false
pubmed:35364298:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,The Influence of Select Medications on Prospective Hemorrhage Risk in Patients with Spinal or Cerebral Cavernous Malformations.,"BACKGROUND: Effects of select medications on hemorrhage risk in patients with cerebral or spinal cavernous malformations (CMs) are unknown.
METHODS: From a single-institution prospective cohort of patients with CM (2015-2021), demographics, mode of clinical presentation, and radiographic data were collected. Follow-up was performed with electronic medical record review, in-person visits, and written surveys. Select medication use was ascertained from the time of CM diagnosis to a censor date of first prospective symptomatic hemorrhage, complete surgical excision of sporadic form CM, last follow-up, or death. Using Cox proportional hazards regression model, we assessed effects of antithrombotic agents, fish oil, selective serotonin reuptake inhibitors (SSRIs), vitamin E and D supplementation, statins, and beta blockers on prospective hemorrhage risk.
RESULTS: The study included 364 patients with spinal or cerebral CM (58.0% female; 20.0% familial form; 42.3% presentation to medical attention owing to hemorrhage; 25.8% brainstem location). During a follow-up of 2018 patient-years, 103 prospective hemorrhages occurred. No studied medications increased the prospective CM hemorrhage risk. Antithrombotics, vitamin D supplementation, fish oil, and SSRI were associated with lower hemorrhage risk even after adjusting for age at diagnosis, hemorrhage at diagnosis, and brainstem location.
CONCLUSIONS: Use of select medications with antithrombotic properties do not increase the risk of CM hemorrhage. Vitamin D supplementation, any antithrombotic agent, fish oil, and SSRI were associated with a lower prospective hemorrhage risk. Further studies should evaluate the mechanism of action and potential benefit of these select medications.",2022,World neurosurgery,10.1016/j.wneu.2022.03.101,35364298,https://pubmed.ncbi.nlm.nih.gov/35364298/,35364298,doi:10.1016/j.wneu.2022.03.101,,false
pubmed:34555978:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,Emerging agents for the treatment and prevention of stroke: progress in clinical trials.,"INTRODUCTION: Recent years have witnessed unprecedented progress in stroke care, but unmet needs persist regarding the efficacy of acute treatment and secondary prevention. Novel approaches are being tested to enhance the efficacy of thrombolysis or provide neuroprotection in non-thrombolized patients.
AREAS COVERED: The current review highlights pharmaceutical agents under evaluation in clinical trials concerning the acute, subacute, and chronic phase post-stroke. We examine the evidence in favor of tenecteplase as an alternative thrombolytic drug to alteplase, nerinetide as a promising neuroprotective agent, and glibenclamide for reducing edema in malignant hemispheric infarction. We discuss the use of ticagrelor and the promising novel category of factor XI inhibitors in the subacute phase after stroke. We offer our insights on combined rivaroxaban and antiplatelet therapy, PCSK-9 inhibitors, and other non-statin hypolipidemic agents, as well as novel antidiabetic agents that have been shown to reduce cardiovascular events in the long-term.
EXPERT OPINION: Current approaches in stroke treatment and stroke prevention have already transformed stroke care from a linear one-for-all treatment paradigm to a more individualized approach that targets specific patient subgroups with novel pharmaceutical agents. This tendency enriches the therapeutic armamentarium with novel agents developed for specific stroke subgroups.
ABBREVIATIONS: IVT: intravenous thrombolysis; RCTs: randomized-controlled clinical trials; TNK: Tenecteplase; COVID-19: Coronavirus 2019 Disease; EXTEND-IA TNK: The Tenecteplase versus Alteplase Before Endovascular Therapy for Ischemic Stroke trial; AIS: acute ischemic stroke; NNT: number needed to treat; MT: mechanical thrombectomy; sICH: symptomatic intracranial hemorrhage; mRS: modified Rankin Scale; AHA/ASA: American Heart Association/American Stroke Association; ESO: European Stroke Organization; NA-1: Nerinetide; ENACT: Evaluating Neuroprotection in Aneurysm Coiling Therapy; CTA: CT angiography; TIA: transient ischemic attack; CHANCE: Clopidogrel in High-risk patients with Acute Non-disabling Cerebrovascular Events; LOF: loss-of-function; PRINCE: Platelet Reactivity in Acute Nondisabling Cerebrovascular Events; THALES: Acute Stroke or Transient Ischemic Attack Treated with Ticagrelor and ASA [acetylsalicylic acid] for Prevention of Stroke and Death; CHANCE-2: Clopidogrel With Aspirin in High-risk Patients With Acute Non-disabling Cerebrovascular Events II; FXI: Factor XI; PACIFIC-STROKE: Program of Anticoagulation via Inhibition of FXIa by the Oral Compound BAY 2433334-NonCardioembolic Stroke study; COMPASS: Cardiovascular Outcomes for People Using Anticoagulation Strategies; CANTOS-ICAD: Combination Antithrombotic Treatment for Prevention of Recurrent Ischemic Stroke in Intracranial Atherosclerotic Disease; SAMMPRIS: Stenting and Aggressive Medical Therapy for Preventing Recurrent Stroke in Intracranial Stenosis; WASID: Warfarin-Aspirin Symptomatic Intracranial Disease; SPARCL: Stroke Prevention by Aggressive Reduction in Cholesterol Levels; LDL-C: low-density lipoprotein cholesterol; TST: Treat Stroke to Target; IMPROVE-IT: Improved Reduction of Outcomes: Vytorin Efficacy International Trial; PCSK9: proprotein convertase subtilisin-kexin type 9; FOURIER: Further Cardiovascular Outcomes Research with PCSK9 Inhibition in Subjects with Elevated Risk; CLEAR: Cholesterol Lowering via Bempedoic acid, an ACL-inhibiting Regimen; REDUCE-IT: Reduction of Cardiovascular Events With EPA Intervention Trial; STRENGTH: Outcomes Study to Assess STatin Residual Risk Reduction With EpaNova in HiGh CV Risk PatienTs With Hypertriglyceridemia; ACCORD: Action to Control Cardiovascular Risk in Diabetes; ADVANCE: Action in Diabetes and Vascular Disease: Preterax and Diamicron Modified Release Controlled Evaluation; VADT: Veterans Affairs Diabetes Trial; GLP-1R: Glucagon-like peptide-1 receptor; SGLT2: sodium-glucose cotransporter 2; CONVINCE: COlchicine for preventioN of Vascular Inflammation in Non-CardioEmbolic stroke; PROBE: Prospective Randomized Open-label Blinded Endpoint assessment.",2021,Expert opinion on investigational drugs,10.1080/13543784.2021.1985463,34555978,https://pubmed.ncbi.nlm.nih.gov/34555978/,34555978,doi:10.1080/13543784.2021.1985463,,false
pubmed:34298589:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,Medical adjuvant treatment to increase patency of arteriovenous fistulae and grafts.,"BACKGROUND: People with end-stage renal disease (ESRD) often require either the formation of an arteriovenous fistula (AVF) or an interposition prosthetic arteriovenous graft (AVG) for haemodialysis. These access sites should ideally have a long life and a low rate of complications (e.g. thrombosis, infection, stenosis, aneurysm formation and distal limb ischaemia). Although some of the complications may be unavoidable, any adjuvant technique or medical treatment aimed at decreasing complications would be welcome. This is the fourth update of the review first published in 2003.
OBJECTIVES: To assess the effects of adjuvant drug treatment in people with ESRD on haemodialysis via autologous AVFs or prosthetic interposition AVGs.
SEARCH METHODS: The Cochrane Vascular Information Specialist searched the Cochrane Vascular Specialised Register, CENTRAL, MEDLINE, Embase and CINAHL databases and ClinicalTrials.gov trials register to 6 August 2020.
SELECTION CRITERIA: Randomised controlled trials of active drug versus placebo in people with ESRD undergoing haemodialysis via an AVF or prosthetic interposition AVG.
DATA COLLECTION AND ANALYSIS: For this update, two review authors (IM, MFAK) independently selected trials for inclusion, extracted data, assessed risk of bias and assessed the certainty of the evidence according to GRADE. We resolved disagreements by discussion or consultation with another review author (ADS). The primary outcome was the long-term fistula or graft patency rate. Secondary outcomes included duration of hospital stay; complications such as infection, aneurysm formation, stenosis and distal limb ischaemia; and number of related surgical or radiological interventions.
MAIN RESULTS: For this update, one additional study was suitable for inclusion, making a total of 13 trials with 2080 participants. Overall the certainty of the evidence was low or moderate due to short follow-up periods, heterogeneity between trials, small sample sizes, and risk of bias due to incomplete reporting. Medical adjuvant treatments used in the included trials were aspirin, ticlopidine, dipyridamole, dipyridamole plus aspirin, warfarin, fish oil, clopidogrel, sulphinpyrazone and glyceryl trinitrate (GTN) patch. All included studies reported on graft patency by measuring graft thrombosis. There was insufficient evidence to determine if there was a difference in graft patency in studies comparing aspirin versus placebo (odds ratio (OR) 0.40, 95% confidence interval (CI) 0.07 to 2.25; 3 studies, 175 participants; low-certainty evidence). The meta-analysis for graft patency comparing ticlopidine versus placebo favoured ticlopidine (OR 0.45, 95% CI 0.25 to 0.82; 3 studies, 339 participants; moderate-certainty evidence). There was insufficient evidence to determine if there was a difference in graft patency in studies comparing fish oil versus placebo (OR 0.24, 95% CI 0.03 to 1.95; 2 studies, 220 participants; low-certainty evidence); and studies comparing clopidogrel and placebo (OR 0.40, 95% CI 0.13 to 1.19; 2 studies, 959 participants; moderate-certainty evidence). Similarly, there was insufficient evidence to determine if there was a difference in graft patency comparing the effect of dipyridamole versus placebo (OR 0.46, 95% CI 0.11 to 1.94; 1 study, 42 participants, moderate-certainty evidence) and dipyridamole plus aspirin versus placebo (OR 0.64, CI 0.16 to 2.56; 1 study, 41 participants; moderate-certainty evidence); comparing low-intensity warfarin with placebo (OR 1.76, 95% CI 0.78 to 3.99; 1 study, 107 participants; low-certainty evidence); comparing sulphinpyrazone versus placebo (OR 0.43, 95% CI 0.03 to 5.98; 1 study, 16 participants; low-certainty evidence) and comparing GTN patch and placebo (OR 1.26, 95% CI 0.63 to 2.54; 1 study, 167 participants; moderate-certainty evidence). The single trial evaluating warfarin was terminated early because of major bleeding events in the warfarin group. Only two studies published data on the secondary outcome of related interventions (surgical or radiological); there was insufficient evidence to determine if there was a difference in related interventions between placebo and treatment groups. None of the included studies reported on the duration of hospital stay. Most studies reported complications ranging from mortality to nausea. However, data on complications were limited and reporting varied between studies.
AUTHORS' CONCLUSIONS: The meta-analyses of three studies for ticlopidine (an antiplatelet treatment), which all used the same dose of treatment but with a short follow-up of only one month, suggest ticlopidine may have a beneficial effect as an adjuvant treatment to increase the patency of AVFs and AVGs in the short term. There was insufficient evidence to determine if there was a difference in graft patency between placebo and other treatments such as aspirin, fish oil, clopidogrel, dipyridamole, dipyridamole plus aspirin, warfarin, sulphinpyrazone and GTN patch. The certainty of the evidence was low to moderate due to short follow-up periods, the small number of studies for each comparison, small sample sizes, heterogeneity between trials and risk of bias due to incomplete reporting. Therefore, it appears reasonable to suggest further prospective studies be undertaken to assess the use of these antiplatelet drugs in renal patients with an AVF or AVG.",2021,The Cochrane database of systematic reviews,10.1002/14651858.CD002786.pub4,34298589,https://pubmed.ncbi.nlm.nih.gov/34298589/,34298589,doi:10.1002/14651858.cd002786.pub4,,false
pubmed:32567446:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,Complications in skin grafts when continuing antithrombotic therapy prior to cutaneous surgery requiring skin grafting: an observational study.,"Use of anticoagulants is common and practice regarding continuation or discontinuation of the medication peri-operatively for cutaneous surgery lacks evidence-based consensus. Therefore, we aimed to do a prospective observational study with patients who were referred to cutaneous surgery and needed full thickness or split skin grafting and using antitrombotic or non-antitrombotic therapies. Data on patients characteristics, diagnosis, location of surgery and surgery performed, antithrombotic medication and complications in skin grafts were collected. Skin grafts were traced on a transparent film and areas of unhealed skin graft were marked. All patients were routinely followed-up on days 5-7 postoperative. Chi-square test, Fisher's exact test or Mann-Whitney U-test were used to compare patients taking antitrombotic medication with patients receiving no antitrombotic therapy. In addition, associations were calculated for treatment with the different antithrombotic therapies. No severe bleeding requiring blood transfusion or re-operation was observed in this study. The results showed no statistically significant difference between patients who continued treatment with antithrombotic therapy compared with patients having no antithrombotic treatment regarding sub graft hematomas or graft take. Continuing antithrombotic monotheraphy with acetylsalicylic, clopidogrel, warfarin or fish oil in relations to cutaneous surgery do not seem to increase risk of haematoma or graft lost.",2020,Journal of plastic surgery and hand surgery,10.1080/2000656X.2020.1781141,32567446,https://pubmed.ncbi.nlm.nih.gov/32567446/,32567446,doi:10.1080/2000656x.2020.1781141,,false
pubmed:32243872:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,Catch of the Day: Icosapent Ethyl for Reducing Cardiovascular Risk.,"For decades, omega-3 fatty acids (O3FA) have been used for their cardioprotective effects. Although several prescription products are available, icosapent ethyl (IPE) is the lone pure, eicosapentaenoic acid (EPA)-only, O3FA product. Initially approved by the Food and Drug Administration (FDA) to reduce triglyceride (TG) levels in patients with TG levels ≥500 mg/dL, the Reduction of Cardiovascular Events With Icosapent Ethyl-Intervention Trial (REDUCE-IT) demonstrated that IPE reduces cardiovascular events in patients with either established atherosclerotic cardiovascular disease (ASCVD) or diabetes plus ≥2 ASCVD risk factors, a TG level between 135 mg/dL and 499 mg/dL, and who were taking a statin. IPE is generally well tolerated, but caution is advised if used in patients taking antiplatelet or anticoagulant therapies because of an increased risk of bleeding. Based on the REDUCE-IT trial, the Food and Drug Administration granted IPE an indication for ASCVD risk reduction, making it the first O3FA product to receive such an indication. IPE is a cost-effective approach to reducing residual cardiovascular risk in high risk patients treated with statins.",2020,The American journal of medicine,10.1016/j.amjmed.2020.03.006,32243872,https://pubmed.ncbi.nlm.nih.gov/32243872/,32243872,doi:10.1016/j.amjmed.2020.03.006,,false
pubmed:30369592:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,Therapeutic Strategy for Gastrointestinal Bleeding in Patients With Left Ventricular Assist Device.,"Left ventricular assist device (LVAD) technology has improved the survival of advanced heart failure patients. However, readmission rates following LVAD implantation remain high and are an unsolved matter. Currently, gastrointestinal bleeding is one of the major causes of readmission and has recently been demonstrated to mainly result from increased angiogenesis. In addition to the conventional therapeutic strategies, including a reduction in antiplatelet and anticoagulation therapies and blood products administration, several therapeutic tools have recently been proposed: octreotide, thalidomide, hemodynamic optimization by the ramp test, and fish oil therapy. This review will update the therapeutic strategy for gastrointestinal bleeding in LVAD patients.",2018,Circulation journal : official journal of the Japanese Circulation Society,10.1253/circj.CJ-18-0883,30369592,https://pubmed.ncbi.nlm.nih.gov/30369592/,30369592,doi:10.1253/circj.cj-18-0883,,false
pubmed:29627068:pubmed_anticoag_refined_20260531T223335_90c4eb6f,pubmed,anticoag_refined,pubmed_anticoag_refined_20260531T223335_90c4eb6f,Role of Fish Oil in Post-Cardiotomy Bleeding: A Summary of the Basic Science and Clinical Trials.,"BACKGROUND: Omega-3 fatty acids are widely used. This article reviews the coagulopathic effects of fish oil.
METHODS: A review was performed of all English articles that addressed the topic from 1980 to 2017.
RESULTS: Fish oil induces an in vitro coagulopathy in humans due to inhibitory effects in platelet-to-platelet adhesion and platelet-stimulated thrombin generation. The effect from fish oil alone is weak, but it is enhanced and may become clinically noticeable in patients taking antiplatelet therapy, and, to a lesser extent, in patients on factor Xa inhibitors and warfarin. In the absence of other anticoagulants, fish oil alone is not capable of producing a clinically significant coagulopathy that would induce or contribute to surgical bleeding.
CONCLUSIONS: Patients who are taking fish oil without other anticoagulants do not have an increased risk of bleeding surgical complications. Because of the highly variable amounts of actual eicosapentaenoic acid and docosahexaenoic acid in commercially available supplements, thromboelastography with platelet mapping would allow a surgeon to know if a coagulopathic effect is present in a patient taking fish oil, especially if the patient was also taking other anticoagulants.",2018,The Annals of thoracic surgery,10.1016/j.athoracsur.2018.01.041,29627068,https://pubmed.ncbi.nlm.nih.gov/29627068/,29627068,doi:10.1016/j.athoracsur.2018.01.041,,false
