record_id,question_id,pmid,pmcid,section_title,paragraph_position,sentence_position,xml_locator,evidence_type,matched_exposure_terms,matched_population_terms,matched_outcome_terms,dose_mentions,evidence_sentence,sentence_sha256,extraction_authority,human_verified,eligibility_claim,effect_estimate_claim
REC-PUBMED-24052022,A1,24052022,PMC4038335,Introduction,1,4,article[pmcid='PMC4038335']/body//p[1]/sentence[4],exposure_outcome,vitamin K,Warfarin,coagulat,,"Warfarin acts by inhibiting vitamin K epoxide reductase (VKORC1) thereby inhibiting vitamin K dependent activation of coagulation factors (II, VII, IX and X).",a8071784d8c75e27564cf0dc0709872d614baa1368374942a646b59f2d19891d,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Introduction,1,6,article[pmcid='PMC4038335']/body//p[1]/sentence[6],exposure_population,vitamin K,warfarin,,,We hypothesized that obese individuals may have higher amounts of vitamin K in tissues and therefore require higher warfarin maintenance doses after adjusting for known determinants of warfarin response.,76f9cfa62f2b64fee6eade7ecc9e4c43f72a88466dfe01a194d3cc9630e14933,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Introduction,1,7,article[pmcid='PMC4038335']/body//p[1]/sentence[7],exposure_outcome,vitamin K,,coagulat|INR,,"Indeed in patients treated with phenprocoumon, a coumarin derivative which inhibits vitamin K reductase thereby blocking vitamin K-dependent coagulation factors, the dose and time required to attain desirable international normalized ratio (INR) is directly correlated with body mass index (BMI) in a dose-dependent manner [6].",7033b3006199ba96855b186f961f869c6eb780c6334272c2cc962ecad86237ea,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Introduction,1,8,article[pmcid='PMC4038335']/body//p[1]/sentence[8],exposure_population,vitamin K,warfarin,,,Whether BMI modifies the relationship between vitamin K and warfarin response is not known.,d949c9416f8d504078f3e276156e8b93bd715276859d0e3fd80f9eff0e0e406d,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Introduction,2,2,article[pmcid='PMC4038335']/body//p[2]/sentence[2],exposure_population,vitamin K,warfarin,,,We investigated whether the relation between vitamin K intake and response to warfarin is modified by body fat at initiation of warfarin therapy.,06190c978d9050cd4f79736180fe3f13004c1f207da0316e207037e1a8bcad9e,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Introduction,2,3,article[pmcid='PMC4038335']/body//p[2]/sentence[3],exposure_population,vitamin K,warfarin,,,We also investigated whether inclusion of vitamin K intake in models improves the variance explained by established predictors of warfarin response.,6dff69f61cedefb1409f6ee72d75932953b7eeb4d6e4e9366822ca313bd13d38,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Data collection,4,2,article[pmcid='PMC4038335']/body//p[4]/sentence[2],exposure_outcome,vitamin K,warfarin,INR,,"Factors influencing warfarin response, including warfarin loading dose, INR, concurrent medications and intake of alcohol and vitamin K, were documented.",c0d0a0b8ad8cbf19ac2a37b9aacfe883a9ccfbb9d7f59eed4e63bb359eb4f591,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Assessment of vitamin K intake,5,3,article[pmcid='PMC4038335']/body//p[5]/sentence[3],exposure_outcome,vitamin K,warfarin,INR,,Estimates of vitamin K intake from DR have been used in other studies and show positive correlation with warfarin dose required to attain INR [12].,644d43f158251582fe974ca7cea7829512663f707320e0baca201626d1f83e6a,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Statistical analyses,7,4,article[pmcid='PMC4038335']/body//p[7]/sentence[4],exposure_dose,vitamin K,,,"1,513 μg","Two more patients with vitamin K intakes (1,476 and 1,513 μg/d) larger than 4 standard deviations above the mean were also excluded.",628838e6ff2b4c47dee21ec100c3476ea2088234050b2e32fc0e3130f9232b51,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Statistical analyses,8,3,article[pmcid='PMC4038335']/body//p[8]/sentence[3],exposure_population,vitamin K,warfarin,,,"Using ANOVA (SAS software version 9.2, Cary, NC) we tested whether vitamin K intake is associated with warfarin maintenance dose and whether this association is modified by BMI independent of VKORC1, CYP2C9, age, gender, physical activity and total energy intake.",b95650df24fe1aef3ae263907f84e97fec1d05b056ac5ae811185fa4e072da1c,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Statistical analyses,9,1,article[pmcid='PMC4038335']/body//p[9]/sentence[1],exposure_population,vitamin K,warfarin,,,"To further investigate the effect of the interaction between BMI and vitamin K intake on warfarin response we divided the study population into obese and non-obese individuals based on the standard definition for obesity i.e., BMI ≥30 kg/m2.",9bbca197e0edc1547d58f623fde752a6e9397e3a870348c9960d00c5771dd008,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Statistical analyses,9,2,article[pmcid='PMC4038335']/body//p[9]/sentence[2],exposure_population,vitamin K,warfarin,,,The relation between vitamin K and warfarin maintenance dose was then examined after stratifying by obesity status.,c8d0298645a5b9598e656265f168b672c0c957670159e2f223330c477c756fb9,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Statistical analyses,10,1,article[pmcid='PMC4038335']/body//p[10]/sentence[1],exposure_population,vitamin K,warfarin,,,Next we tested whether adding vitamin K to the model that includes standard predictors of warfarin maintenance dose improves the variance explained by the model.,0f36c6bb7377b9020d00b276c92dabbd064066d0f79b2e4122208a5ca728316e,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Statistical analyses,10,2,article[pmcid='PMC4038335']/body//p[10]/sentence[2],exposure_population,vitamin K,warfarin,,9 g,"We used linear regression with square root-transformed warfarin maintenance dose as the dependent variable and energy-adjusted vitamin K, total energy intake, age, gender, BMI, physical activity, VKORC1 and CYP2C9 genotypes as covariates.",1e861e3f7df267c3955465c42d2a9c3acad9f9d55fd5a12c0fa07d7cf2988fcf,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Results,13,1,article[pmcid='PMC4038335']/body//p[13]/sentence[1],exposure_dose,vitamin K,,,11.7 μg|714.7 μg,"The median [25th, 75th percentile] vitamin K intake was 73.6 [45.9, 168.0] μg/d and ranged from 11.7 μg/d to 714.7 μg/d.",1e3944e3b6e1fea3f8c8fcdb038caaf165d306ac0a228ec2ce41b15bc24e0cff,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Results,16,1,article[pmcid='PMC4038335']/body//p[16]/sentence[1],exposure_population,vitamin K,warfarin,,,Table 2 shows the relation between vitamin K intake and warfarin maintenance dose after adjustment for covariates.,97f652c038103711af0f66ddef1a82667c508dc4976b91d7ec16b23c2abe5fd1,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Results,16,2,article[pmcid='PMC4038335']/body//p[16]/sentence[2],exposure_population,vitamin K,warfarin,,,BMI was significantly associated (P=0.001) while vitamin K was marginally positively associated (P=0.06) with warfarin maintenance dose.,f9fc2b6e8a379518d9a1b8aaed21ec73d17f586af4c9922cc5762b2cae23c6ed,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Results,17,1,article[pmcid='PMC4038335']/body//p[17]/sentence[1],exposure_population,vitamin K,warfarin,,,"To further explore the potential interaction vitamin K and BMI, we performed analyses stratified by obesity status and with warfarin maintenance dose as the dependent variable.",4fade3e0afc560e660290e7ed619f356870a220ac9482972e20c704ee9f731f2,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Discussion,18,1,article[pmcid='PMC4038335']/body//p[18]/sentence[1],exposure_population,vitamin K,warfarin,,,"Contrary to our hypothesis, we did not observe a significant interaction between vitamin K intake and BMI with regard to warfarin maintenance dose.",2d1d9b3756f36bf0140b37397682c07a5f035e3daccd76518cb67110be4a0b96,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Discussion,18,4,article[pmcid='PMC4038335']/body//p[18]/sentence[4],exposure_population,vitamin K,warfarin,,,"Furthermore, inclusion of vitamin K to a model with established predictors of warfarin response, only slightly improved the variance explained by covariates (1.1% improvement in model adjusted r2).",8a51cb38a1ad53469cc17d6294b6fc67ff5162fd30cb33d17b38e6aa06d985b0,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Discussion,19,1,article[pmcid='PMC4038335']/body//p[19]/sentence[1],exposure_population,vitamin K,warfarin,,,The association between vitamin K and warfarin maintenance dose observed in our study was only marginal (P = 0.06) and is consistent with findings from a study by Aquilante et al [15] among 350 patients in which they reported a weak association (P=0.05).,8b80cc9fef9fff9d12f7afc702fe45cad20cb74211579b2f2d6849f12fdc084c,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Discussion,19,2,article[pmcid='PMC4038335']/body//p[19]/sentence[2],exposure_dose,vitamin K,,,129 μg|250 μg,The relatively low mean intake of vitamin K (127±129 μg/d) in our study compared to others (~250 μg/d) [12] could in part explain the weak association we observed.,d8b31666f00081ad286179bb83a360d061d9de94d74c5984f3a32876ae2ac1bf,agent_fulltext_extraction_only,,false,false
REC-PUBMED-24052022,A1,24052022,PMC4038335,Discussion,20,1,article[pmcid='PMC4038335']/body//p[20]/sentence[1],exposure_population,vitamin K,warfarin,,,"Our findings are consistent with those of others in which vitamin K from diet or prescription has been associated with higher warfarin maintenance doses [3], though the overall contribution of vitamin K is generally small.",06c307041e1ff8abdd60c3e5c59e2280f6eb324b03e81641ac57ec6158de0280,agent_fulltext_extraction_only,,false,false
