record_id,question_id,llm_decision,llm_reason_codes,llm_confidence,llm_model,llm_reasoning_effort,decision_authority,status
REC-PUBMED-10022456,B2,deprioritize,population|outcome|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10023003,B2,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10023643,B2,deprioritize,human_signal|exposure|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10024384,B2,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10027919,B2,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10028154,B1,deprioritize,animal_term_present|population|exposure|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10028155,B2,deprioritize,animal_term_present|insufficient_abstract,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10028537,B2,deprioritize,outcome|human_signal|design_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10029472,B1,deprioritize,off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10048291,B2,deprioritize,exposure|human_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10050703,A1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10072117,A1,retain,population|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10073841,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10077437,A1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10083632,B1,deprioritize,off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10087429,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10087431,A1,retain,exposure|outcome|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10088815,B2,deprioritize,animal_term_present|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10089217,B2,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10089499,A2,deprioritize,off_topic|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10089669,B2,deprioritize,exposure|off_topic|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10090045,A1,deprioritize,population|exposure|outcome|animal_term_present,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10090119,B3,retain,population|exposure|outcome|design_signal|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-1009028,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10090302,B2,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10092181,B3,deprioritize,off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10101920,B3,uncertain,exposure|human_signal|animal_term_present|insufficient_abstract,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10102468,A1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10102469,A2,deprioritize,design_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-1013714,B2,deprioritize,exposure|outcome|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-101482,B3,deprioritize,animal_term_present|exposure|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10151016,A2,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10155150,B2,deprioritize,off_topic|insufficient_abstract,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10192655,A1,deprioritize,animal_term_present|population|outcome|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10195856,B1,deprioritize,off_topic|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10200853,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10201008,B2,deprioritize,animal_term_present|population|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10203369,B3,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10210370,B1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10211496,A2,deprioritize,exposure|population|design_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10216979,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10217316,A1,deprioritize,animal_term_present|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10232622,B2,deprioritize,exposure|human_signal|outcome|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10232683,B2,deprioritize,animal_term_present|population|exposure|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10232686,B2,deprioritize,human_signal|off_topic|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-1030814,B2,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-1030898,B2,deprioritize,animal_term_present|exposure|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10321413,B2,deprioritize,population|outcome|animal_term_present|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10322128,B2,deprioritize,animal_term_present|off_topic|exposure,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10325933,B1,deprioritize,outcome|human_signal|design_signal|off_topic,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10327214,A1,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10327215,A1,retain,exposure|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10327226,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10332534,A1,retain,exposure|outcome|human_signal|design_signal|population,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10347843,A1,deprioritize,population|exposure|outcome|animal_term_present|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10349752,A2,deprioritize,off_topic|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10350350,B2,deprioritize,off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10352110,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10352118,B2,deprioritize,exposure|outcome|animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10353669,A2,deprioritize,animal_term_present|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10354266,B2,deprioritize,population|exposure|outcome|human_signal|design_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10354297,B3,deprioritize,exposure|human_signal|off_topic,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10360451,B1,deprioritize,off_topic|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10360498,B1,deprioritize,off_topic|animal_term_present,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-103668,B1,deprioritize,off_topic|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10367029,B1,retain,exposure|outcome|human_signal|design_signal,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10367644,B2,deprioritize,animal_term_present|population|outcome,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10369196,A2,retain,population|exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10372637,A2,deprioritize,off_topic|human_signal|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10372840,B2,deprioritize,exposure|human_signal|outcome|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10380493,A1,retain,population|exposure|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10380494,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10382555,B3,uncertain,exposure|outcome|animal_term_present|human_signal,medium,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10385427,B2,deprioritize,off_topic|animal_term_present|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10389917,B2,retain,outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10393383,B2,deprioritize,population|outcome|exposure|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10393408,A1,retain,exposure|outcome|human_signal|design_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
REC-PUBMED-10395233,B2,deprioritize,off_topic|human_signal,high,gpt-5-mini,low,ai_exploratory_only,ok
