legacy_rule_id,ingredient_id,rule_name_ko,legacy_review_status,quarantine_status,protocol_question_candidate,candidate_scope,currently_exposed_by_study_filter,thesis_mode_eligible,source_ref_count,evidence_ref_count,missing_source_ref_count,missing_evidence_ref_count,missing_locator_count,non_full_text_support_count,evidence_verification_statuses,issue_codes
RULE-VITA-UL-US-ADULT,vitamin_a_preformed,프리폼드 비타민 A 성인 UL(미국),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITA-PREGNANCY-HIGHDOSE,vitamin_a_preformed,임신/임신가능 여성의 고용량 비타민 A 회피,starter_validated,legacy_unverified,none,future_scope,false,false,4,5,0,0,0,5,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-BETACAROTENE-SMOKERS-AVOID,beta_carotene,흡연자/과거흡연자의 고용량 베타카로틴 회피,starter_validated,legacy_unverified,none,future_scope,false,false,2,2,0,0,0,2,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITD-UL-US-ADULT,vitamin_d,비타민 D 성인 UL(미국),starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITD-THIAZIDE-HYPERCALCEMIA,vitamin_d,비타민 D + thiazide 이뇨제,starter_validated,legacy_unverified,B2_candidate,validated_thesis_scope_candidate_only,true,false,1,1,0,0,0,1,verified_against_source,CANDIDATE_REQUIRES_FULL_REVALIDATION;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-VITD-ORLISTAT-ABSORPTION,vitamin_d,비타민 D + orlistat 흡수저하,starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-CALCIUM-UL-US-19-50,calcium,칼슘 UL 19–50세(미국),starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-CALCIUM-UL-US-51PLUS,calcium,칼슘 UL 51세 이상(미국),starter_validated,legacy_unverified,none,exploratory_demo,true,false,1,1,0,0,0,1,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-CALCIUM-LEVOTHYROXINE-4H,calcium,칼슘 + 레보티록신 분리복용,starter_validated,legacy_unverified,none,exploratory_demo,true,false,2,2,0,0,0,2,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-CALCIUM-QUINOLONE-SPLIT,calcium,칼슘 + 퀴놀론 항생제 분리복용,starter_validated,legacy_unverified,none,exploratory_demo,true,false,2,2,0,0,0,2,verified_against_source,CURRENT_UI_OUT_OF_PROTOCOL_SCOPE;LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-MAG-UL-US-ADULT,magnesium_supplement,마그네슘(보충제) 성인 UL(미국),starter_validated,legacy_unverified,none,future_scope,false,false,3,3,0,0,0,3,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-MAG-UL-EU-ADULT,magnesium_supplement,마그네슘(보충제) 성인 UL(EU),starter_validated,legacy_unverified,none,future_scope,false,false,3,3,0,0,0,2,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-MAG-ABX-SPLIT,magnesium_supplement,마그네슘 + tetracycline/quinolone 항생제 분리복용,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-MAG-BISPHOSPHONATE-SPLIT,magnesium_supplement,마그네슘 + 경구 비스포스포네이트 분리복용,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-IRON-UL-US-ADULT,iron,철 성인 UL(미국),starter_validated,legacy_unverified,none,future_scope,false,false,3,3,0,0,0,3,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
RULE-IRON-SAFELEVEL-EU-ADULT,iron,철 safe level(EU),starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,0,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NO_VALIDATED_CLAIM_LINK
RULE-IRON-LEVOTHYROXINE-SPLIT,iron,철 + 레보티록신 분리복용,starter_validated,legacy_unverified,none,future_scope,false,false,1,1,0,0,0,1,verified_against_source,LEGACY_REVIEW_STATUS_UNTRUSTED;NON_FULL_TEXT_OR_WEAK_EXTRACTION_SUPPORT;NO_VALIDATED_CLAIM_LINK
