record_id,kmid,question_id,title,agent_recommendation,recommendation_reason,matched_title_signals,uncertainty_flags,koreamed_url,decision_authority,human_decision
REC-KOREAMED-2434954,2434954,A1,Adaptation of New Oral Anticoagulants for Warfarin Anticoagulated Patient with Traumatic Ongoing Hemorrhage,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin|hemorrhage,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2434954,agent_prereview_only,
REC-KOREAMED-2223678,2223678,A1,Paradoxical Procoagulant Effect of Early Doses of Warfarin: Possible Role of Non-Vitamin K Oral Anticoagulant in Patients with Atrial Fibrillation-Related Stroke,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin|vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2223678,agent_prereview_only,
REC-KOREAMED-2192901,2192901,A1,New oral anticoagulants,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2192901,agent_prereview_only,
REC-KOREAMED-2263729,2263729,A1,Anticoagulation in Atrial Fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,coagulation,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2263729,agent_prereview_only,
REC-KOREAMED-2386080,2386080,A1,Association Between Usual Vitamin K Intake and Anticoagulation in Patients Under Warfarin Therapy,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin|vitamin k|coagulation,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2386080,agent_prereview_only,
REC-KOREAMED-2383663,2383663,A1,CYP2C9 Mutation Affecting the Individual Variability of Warfarin Dose Requirement,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2383663,agent_prereview_only,
REC-KOREAMED-2378089,2378089,A1,Rivaroxaban for Thromboprophylaxis in Patients with Antiphospholipid Syndrome,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2378089,agent_prereview_only,
REC-KOREAMED-2100703,2100703,A1,Warfarin Toxicity Patients in the Emergency Department,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2100703,agent_prereview_only,
REC-KOREAMED-2252175,2252175,A1,A Case of Superwarfarin Intoxication without a Definitive History of Brodifacoum Exposure,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2252175,agent_prereview_only,
REC-KOREAMED-2267834,2267834,A1,"A Case of Warfarin-Induced Bleeding in a Patient with CYP2C9 and VKORC1 Gene Polymorphism, Detected by a Point-of-Care Gene Test Device",uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin|bleed,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2267834,agent_prereview_only,
REC-KOREAMED-2545685,2545685,A1,Low-dose non-vitamin K antagonist oral anticoagulants in patients with atrial fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,vitamin k,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2545685,agent_prereview_only,
REC-KOREAMED-2269259,2269259,A1,Application of New Oral Anticoagulants: Prevention of Stroke in Patients with Nonvalvular Atrial Fibrillation,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=2269259,agent_prereview_only,
REC-KOREAMED-1071437,1071437,A1,Interaction between Warfarin and the Herbal Product Shengmai-Yin: A Case Report of Intracerebral Hematoma,uncertain_manual_review,초록과 완전한 원문 정보가 없어 제목만으로 포함·제외할 수 없습니다.,warfarin,abstract_unavailable|native_export_server_error|not_final_search,https://www.koreamed.org/SearchBasic.php?RID=1071437,agent_prereview_only,
