record_id,target_id,pmid,year,priority,suggested_decision,matched_population_terms,matched_ingredient_terms,matched_outcome_terms,matched_study_terms,title,url
pubmed:38811233:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,38811233,2024,likely_exclude,likely_exclude,anticoagulant; atrial fibrillation,epa,bleeding; platelet,,A Novel Risk Score for Major Bleeding in Japanese Patients with Non-Valvular Atrial Fibrillation: The J-RISK AF Study.,https://pubmed.ncbi.nlm.nih.gov/38811233/
pubmed:36304597:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,36304597,2022,likely_exclude,likely_exclude,anticoagulant,fish oil; cranberry; glucosamine; herbal; supplement,bleeding,,Dietary supplements and bleeding.,https://pubmed.ncbi.nlm.nih.gov/36304597/
pubmed:35776157:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,35776157,2022,likely_exclude,likely_exclude,anticoagulant,fish oil,bleeding; hemorrhage; platelet; adverse event,case report,Fatal adverse events of rivaroxaban combined with aspirin: an analysis using data from VigiBase.,https://pubmed.ncbi.nlm.nih.gov/35776157/
pubmed:35364298:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,35364298,2022,likely_exclude,likely_exclude,,fish oil; supplement,hemorrhage,cohort,The Influence of Select Medications on Prospective Hemorrhage Risk in Patients with Spinal or Cerebral Cavernous Malformations.,https://pubmed.ncbi.nlm.nih.gov/35364298/
pubmed:34555978:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,34555978,2021,likely_exclude,likely_exclude,warfarin; anticoagulation,epa,hemorrhage; platelet,randomized; clinical trial,Emerging agents for the treatment and prevention of stroke: progress in clinical trials.,https://pubmed.ncbi.nlm.nih.gov/34555978/
pubmed:34298589:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,34298589,2021,likely_exclude,likely_exclude,warfarin,fish oil,bleeding; platelet,systematic review; meta-analysis; randomised,Medical adjuvant treatment to increase patency of arteriovenous fistulae and grafts.,https://pubmed.ncbi.nlm.nih.gov/34298589/
pubmed:32567446:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,32567446,2020,likely_exclude,likely_exclude,warfarin; anticoagulant,fish oil,bleeding,,Complications in skin grafts when continuing antithrombotic therapy prior to cutaneous surgery requiring skin grafting: an observational study.,https://pubmed.ncbi.nlm.nih.gov/32567446/
pubmed:32243872:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,32243872,2020,likely_exclude,likely_exclude,anticoagulant,omega-3; epa,bleeding; platelet,,Catch of the Day: Icosapent Ethyl for Reducing Cardiovascular Risk.,https://pubmed.ncbi.nlm.nih.gov/32243872/
pubmed:30369592:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,30369592,2018,likely_exclude,likely_exclude,anticoagulation,fish oil,bleeding; platelet,,Therapeutic Strategy for Gastrointestinal Bleeding in Patients With Left Ventricular Assist Device.,https://pubmed.ncbi.nlm.nih.gov/30369592/
pubmed:29627068:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,29627068,2018,likely_exclude,likely_exclude,warfarin; anticoagulant,omega-3; fish oil; supplement,bleeding; platelet,clinical trial,Role of Fish Oil in Post-Cardiotomy Bleeding: A Summary of the Basic Science and Clinical Trials.,https://pubmed.ncbi.nlm.nih.gov/29627068/
pubmed:29299477:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,29299477,2017,likely_exclude,likely_exclude,anticoagulation,fish oil; supplement,bleeding,clinical trial; cohort,Novel venous thromboembolic disease (VTED) prophylaxis for total knee arthroplasty-aspirin and fish oil.,https://pubmed.ncbi.nlm.nih.gov/29299477/
pubmed:29256925:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,29256925,2018,likely_exclude,likely_exclude,anticoagulant,fish oil; vitamin k; supplement,bleeding,,Dispelling myths about intravenous fish oil-based lipid emulsions: a clinical perspective.,https://pubmed.ncbi.nlm.nih.gov/29256925/
pubmed:28197979:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,28197979,2017,likely_exclude,likely_exclude,warfarin; inr,omega-3; epa,inr; platelet; interaction; adverse event,pharmacokinetic,No Effect of Omega-3 Carboxylic Acids on Pharmacokinetics/Pharmacodynamics of Warfarin or on Platelet Function When Co-administered with Acetylsalicylic Acid: Results of Two Phase I Studies in Healthy Volunteers.,https://pubmed.ncbi.nlm.nih.gov/28197979/
pubmed:28033135:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,28033135,2017,likely_exclude,likely_exclude,warfarin; anticoagulant,omega-3; fish oil; polyunsaturated fatty acid; supplement,bleeding; platelet,,Omega-3 Fatty Acid Supplementation and Warfarin: A Lethal Combination in Traumatic Brain Injury.,https://pubmed.ncbi.nlm.nih.gov/28033135/
pubmed:27885969:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,27885969,2016,likely_exclude,likely_exclude,anticoagulation; atrial fibrillation,omega-3; epa; dha,bleeding; hemorrhage; haemorrhage; platelet; adverse event,systematic review; meta-analysis; randomized; clinical trial; cohort; case series; pharmacokinetic,"36th International Symposium on Intensive Care and Emergency Medicine : Brussels, Belgium. 15-18 March 2016.",https://pubmed.ncbi.nlm.nih.gov/27885969/
pubmed:27657121:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,27657121,2016,likely_exclude,likely_exclude,warfarin; anticoagulant; anticoagulation; atrial fibrillation,omega-3; fish oil; supplement,bleeding; interaction; adverse event,,The Use of Fish Oil with Warfarin Does Not Significantly Affect either the International Normalised Ratio or Incidence of Adverse Events in Patients with Atrial Fibrillation and Deep Vein Thrombosis: A Retrospective Study.,https://pubmed.ncbi.nlm.nih.gov/27657121/
pubmed:27325362:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,27325362,2016,likely_exclude,likely_exclude,,epa,hemorrhage,meta-analysis; clinical trial; cohort,Novel Treatments in Neuroprotection for Aneurysmal Subarachnoid Hemorrhage.,https://pubmed.ncbi.nlm.nih.gov/27325362/
pubmed:27212967:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,27212967,2016,likely_exclude,likely_exclude,warfarin,omega-3; polyunsaturated fatty acid; supplement,bleeding; platelet,randomized,Omega-3 polyunsaturated fatty acid supplementation in the prevention of cardiovascular disease.,https://pubmed.ncbi.nlm.nih.gov/27212967/
pubmed:26904189:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,26904189,2015,manual_review_medium,include_candidate,anticoagulant,fish oil,bleeding,case report,Intramural oesophageal dissection as an unusual presentation of chest pain: A case report.,https://pubmed.ncbi.nlm.nih.gov/26904189/
pubmed:26184395:pubmed_anticoag_refined_20260531T223335_90c4eb6f,anticoag_refined,26184395,2015,likely_exclude,likely_exclude,warfarin,fish oil,bleeding; platelet; adverse event,systematic review; meta-analysis; randomised,Medical adjuvant treatment to increase patency of arteriovenous fistulae and grafts.,https://pubmed.ncbi.nlm.nih.gov/26184395/
pubmed:42218370:pubmed_kidney_stone_refined_20260531T223339_33755914,kidney_stone_refined,42218370,2026,likely_exclude,likely_exclude,kidney stone,calcium,kidney stone; recurrence,,Association between triglyceride levels and upper urinary tract calcium stones recurrence.,https://pubmed.ncbi.nlm.nih.gov/42218370/
